,Unnamed: 0,OPID,VertPC,AankPC,VertUur,VertMin,Reisduur,Hvm,geometry,length_m
5,7,56175178337,3512.0,3972.0,17,15,60,1,"LINESTRING (136989.31886615348 455948.93337467336, 137008.73608810682 456027.2236683988, 137049.9098553958 456116.5838023283, 137064.26631299872 456114.5182400188, 137216.69141051755 456087.80293536227, 137226.3501062528 456086.65583499195, 137279.62745985083 456081.3812875988, 137340.5659900966 456060.4703304376, 137376.37105552913 456036.6005209038, 137427.5723566819 455998.25728552404, 137449.65245254547 455982.48058605805, 137563.06430495155 455907.7046465638, 137581.8321262505 455891.0834410815, 137600.04071228608 455875.2097045484, 137671.22680784625 455808.42787416116, 137676.1164532585 455803.42640521546, 137757.52281630225 455726.6413710687, 137767.31142582663 455719.2309364904, 137817.15856150427 455687.8390692078, 137882.1807570239 455648.6184277936, 137950.5068851112 455609.2315625209, 137949.5008185739 455597.64171842625, 137961.4636754844 455588.5441976531, 137967.7724544399 455511.3971989246, 137974.13034551483 455280.19954087783, 137978.5732126518 455242.5117398571, 137992.47538283624 455237.03474572924, 138028.05609929955 455271.37052264356, 138044.89227444993 455280.1138169783, 138115.06565570593 455308.5915151674, 138213.92178312654 455424.2679410205, 138270.16613563502 455398.0104201641, 138368.6585930677 455351.04027107806, 138461.17363313836 455299.19650117395, 138484.63402964387 455286.4238710691, 138522.70882054121 455265.7368913906, 138576.0894156637 455234.68590216886, 138610.35201307814 455215.4696790308, 138688.79703058608 455171.0307843999, 138803.10053248325 455110.3436831882, 138865.1558472857 455104.82398337696, 138963.12149781594 455167.42490539583, 139022.0654656453 455110.9713193376, 139112.2746699846 455013.94227434153, 139151.96546123145 454971.8819810205, 139408.5371756455 455150.9678751163, 139667.1357664516 455135.1225072666, 139668.1484096321 454903.02048019157, 140550.1033764384 455031.2466872891, 140574.25209873772 455031.399189129, 140574.23100709735 455000.4579431376, 140826.13392080058 455000.3909935022, 141028.44441514293 455000.31992733607, 141028.801365401 454765.9506088602, 141136.24437070533 454766.1176329386)",5587.064363784408
6,8,56175178678,3531.0,5623.0,6,40,60,1,"LINESTRING (135123.31955264375 455992.6621308915, 135144.8565508467 455904.39122674643, 135175.25616772112 455780.0701625163, 135185.19621926255 455739.3760686653, 135194.59028974595 455700.94275417173, 135204.98134726138 455654.66164551384, 135219.33106925298 455624.8758546973, 135224.07627580204 455627.21571810235, 135285.4712207037 455492.10249799996, 135313.6869509647 455483.0010046654, 135254.88491353957 455337.23821553675, 135216.09972691306 455291.21921034856, 135136.28066942966 455196.16479910375, 135094.98828963548 455192.2131023967, 135038.27842668735 455244.153928523, 135084.32688426724 455302.83728506387, 135260.0982935745 455155.0845765459, 135202.01912035787 455083.85278454126, 135195.1107982506 455075.4801176527, 135202.21255896834 455068.72062954993, 135388.08775754532 454789.20038788795, 135436.14799488676 454707.4242693857, 135479.07059541164 454638.4191785916, 135527.9376140754 454551.83438136696, 135539.36106884843 454526.222157774, 135617.15909085906 454284.4844256609, 135624.69748994827 454248.55148226407, 135659.29186154067 454102.31037385185, 135687.8508049102 453974.4285890879, 135700.9155157046 453933.02261667955, 135744.32318012658 453658.721261075, 135771.01242470177 453487.5226913449, 135779.80769413977 453380.44562857214, 135797.50483343075 453225.6483087903, 135786.34697483288 453216.3677634227, 135797.88016832015 453159.3693854726, 135826.98886553582 452943.891665492, 135774.02472308913 452656.6562062822, 135767.60217266044 452627.286174036, 135755.0331434257 452565.5076798081, 135749.67851620205 452535.69963506726, 135744.66622186184 452496.88936249935, 135742.49444581397 452483.2684415242, 135710.606774131 452269.4950236619, 135702.29512273122 452411.3054459805, 136331.35672558245 452204.5690892015, 137327.59082964322 451886.58337657305, 137701.58990504834 451809.7926176444, 138066.69113159593 451711.0086297723, 138260.89124907725 451672.0570611212)",7192.373112713036
7,9,56175178678,5623.0,3531.0,17,30,65,1,"LINESTRING (138260.89124907725 451672.0570611212, 138408.47666582797 452439.7315996337, 138605.2416305211 453337.990134381, 139291.59918165713 454311.0909598505, 139571.54329769252 455716.18280732183, 139546.42259682642 455896.41268779075, 139497.84750968416 456057.37876367895, 139185.86155100394 455908.44850670465, 139096.83569007067 455869.24597395293, 138604.7758275133 455622.2764317325, 138542.45759140677 455734.88796720415, 138485.36406070765 455884.5659254773, 138483.13723111013 455895.0428770748, 138381.39294310208 456276.75858412636, 138362.940031433 456445.3458426571, 138367.14687788015 456453.3647597288, 138362.14307727607 456491.8774712677, 138344.0238739936 456505.8344588853, 138300.3359361195 456496.6127538113, 138291.96211960306 456484.335491729, 138024.71132113732 456404.8655229168, 137959.76906043952 456408.8146544773, 137882.70171681425 456409.91355708544, 137688.1446169344 456394.6540289914, 137570.39090281082 456385.340867538, 137455.48161693366 456378.26791943883, 137437.001596917 456368.99836975837, 137376.8855030281 456363.82587632496, 137325.21537724475 456359.6699537925, 137276.29855578512 456355.1264776453, 137138.83851937557 456341.14292979747, 137098.82962489128 456334.63331061095, 137090.02570056604 456333.22972721024, 137039.05089108992 456341.513162126, 137013.1933794357 456346.56874694256, 136932.9424980018 456358.16345292743, 136918.49393568916 456357.30358974, 136856.29244544744 456353.61359657074, 136808.8192224967 456352.3293775152, 136741.88716301724 456346.2103820764, 136662.9537349469 456281.8583831626, 136609.52345737605 456219.03773343604, 136603.88719560957 456182.9434969664, 136580.70617900373 456179.8916916612, 136483.22501814686 456165.61155293044, 136327.91948967773 456129.8207916207, 136095.62483359547 456103.12737764453, 136091.19993304854 456109.10773579124, 136020.54504178985 456251.0332415226, 135977.43621395977 456332.32882875385, 135965.4452753061 456332.67507734, 135702.99899246043 456157.51615521545, 135602.23494886735 456099.9968612577, 135542.65043945576 456104.2014335116, 135528.48020161994 456106.4264261667, 135403.36695381155 456126.25451251277, 135241.9992708885 456150.47968861077, 135089.86048668108 456178.9567048147, 135086.75296968003 456162.75850007735, 135080.6907379487 456149.72079083615, 135089.0287625387 456138.9285487352, 135104.93853294954 456067.9141909156, 135115.70686952717 456023.8454358529, 135123.31955264375 455992.6621308915)",10383.443064342648
12,14,56175178988,1035.0,3553.0,10,0,40,1,"LINESTRING (131636.57322232472 460036.1285183574, 131487.33471707272 459899.9805032879, 131467.87822994625 459877.9204028256, 131448.24105908096 459858.2311028866, 131412.05868554302 459819.69477746484, 131392.8066046029 459800.4377881648, 131355.21309323827 459764.868129562, 131324.5725324214 459739.92448626587, 131397.12078527763 459648.9571216311, 131424.72707086787 459613.0889824973, 131482.20055540593 459538.4051823783, 131505.34778943556 459509.3677934652, 131590.9983480132 459399.74966748036, 131612.71398820519 459373.3007954099, 131700.51484974084 459253.8612471067, 131711.9459993973 459240.82350385835, 131550.35061568368 459087.1744756509, 131499.272843544 459038.3159870202, 131485.04165871523 459024.07505808363, 131558.23667059958 458954.11329552176, 131649.25913008736 458865.9555584034, 131777.99648581675 458740.87368885294, 131936.54231901656 458716.0701096102, 132064.37868592195 458697.6993819474, 132202.32585309376 458677.82806916384, 132349.75767080934 458639.2366443911, 132361.90084580478 458631.4598345904, 132389.14365916542 458607.78192807426, 132494.28305864503 458470.99909058615, 132524.32979184276 458426.2809113971, 132850.68859788828 457931.63030521764, 132909.08164383957 457841.90573524474, 133029.7054857313 457631.8227829602, 133072.80806714037 457553.2604697298, 133102.94333794896 457496.6294841115, 133186.31768135738 457095.6242317775, 133082.05691736427 457040.00699567015, 133125.30043081348 456942.2521404747, 133095.18752851093 456931.64795432234, 133087.61215760105 456927.63141816127, 133414.57100565263 456695.0025908546, 133642.09137560747 456664.236378982, 133844.62753908167 456639.1386484757, 134159.50098048913 456567.6935915301, 134169.17114736012 456571.30244925566, 134230.35388399108 456592.0527077348, 134282.21724230924 456584.90498483676, 134298.5851113219 456582.65616160963, 134349.89053323815 456574.7660209837, 134362.05791632296 456575.8170248824, 134378.0249209983 456703.3555434097, 134385.94414747477 456760.7776806091, 134410.7108587579 456938.70317922736, 134411.99851767172 456945.206595424, 134555.76555673455 457215.4888584472, 134632.09917109768 457306.06458577584, 134643.75062230998 457330.5053638427, 134672.56157619818 457360.928610773, 134711.6729239984 457402.23580384144, 134746.4337595709 457438.6544183644, 134788.39002493164 457482.3649881763, 134731.03799811404 457535.9255316421, 134604.3365938473 457656.84962495347, 134511.72895080454 457745.749154456, 134422.85833532244 457828.04834404093, 134416.1562634811 457834.16203231254, 134361.9400787118 457887.0129866809, 134426.52931127197 457938.7932227604, 134439.22060003897 457946.4177427846, 134414.01929295718 457989.88028218795)",7548.504976324995
13,15,56175178988,3553.0,0.0,19,0,40,1,,
32,35,56175179732,3563.0,3555.0,8,15,15,1,"LINESTRING (135247.08339920733 459040.58689621335, 135249.70294493833 459043.12436553417, 135235.33467924764 459057.1446812763, 135238.73114164144 459077.6699342603, 135154.61713330768 459161.2502459369, 135101.93583376013 459245.10667632543, 135056.84299664648 459161.207462307, 135032.42944130782 459172.07547858066, 134981.8643458661 459197.5349823064, 134963.24710575986 459207.1783943239, 134921.36222135162 459233.1709831276, 134825.54517469008 459291.4700790815, 134760.47225031158 459339.3319252462, 134692.10506726132 459396.9211666652, 134681.72847206471 459406.7100136299, 134643.01958142174 459446.5773649146, 134633.463813524 459454.40476113814, 134354.75807614977 459130.6720249064, 134310.4115645956 458863.97472615, 134298.0911838869 458852.799769166, 134264.96471404177 458853.62758737087, 134243.77648210054 458872.49681354174, 134204.04228217027 458829.49356509757, 134156.95260411414 458873.4496129597, 134094.0180229388 458932.848958518, 134047.54387481284 458885.0910689393, 134005.73703681052 458841.4861932794, 133969.95228256012 458801.65019816277, 133878.15114716452 458888.889531837, 133799.62870727302 458944.44246666855, 133786.85239985783 458956.6688996052, 133698.94215353657 459039.4445605326, 133686.79390847989 459051.0788815784, 133643.3760020038 459092.0645674493)",2479.065005241348
33,36,56175179732,3555.0,3563.0,14,30,15,1,"LINESTRING (133643.3760020038 459092.0645674493, 133686.79390847989 459051.0788815784, 133698.94215353657 459039.4445605326, 133786.85239985783 458956.6688996052, 133799.62870727302 458944.44246666855, 133869.151535866 458879.28143599455, 133921.73714945663 458828.5124329654, 133961.141977468 458791.45145366836, 133969.95228256012 458801.65019816277, 134005.73703681052 458841.4861932794, 134047.54387481284 458885.0910689393, 134094.0180229388 458932.848958518, 134156.95260411414 458873.4496129597, 134204.04228217027 458829.49356509757, 134243.77648210054 458872.49681354174, 134264.96471404177 458853.62758737087, 134298.0911838869 458852.799769166, 134300.3251856956 458843.1997802067, 134310.45921620054 458837.5611883276, 134323.63191533575 458846.1625053484, 134324.13572864648 458853.6705219991, 134319.8298250722 458860.8091229047, 134363.26597070284 459129.4017156598, 134643.01958142174 459446.5773649146, 134681.72847206471 459406.7100136299, 134692.10506726132 459396.9211666652, 134760.47225031158 459339.3319252462, 134825.54517469008 459291.4700790815, 134921.36222135162 459233.1709831276, 134963.24710575986 459207.1783943239, 134981.8643458661 459197.5349823064, 135032.42944130782 459172.07547858066, 135056.84299664648 459161.207462307, 135101.93583376013 459245.10667632543, 135154.61713330768 459161.2502459369, 135238.73114164144 459077.6699342603, 135235.33467924764 459057.1446812763, 135249.70294493833 459043.12436553417, 135247.08339920733 459040.58689621335)",2513.717752529744
34,38,56175180073,3544.0,3452.0,10,0,15,1,"LINESTRING (132076.25325234572 456127.8058204849, 132084.91972896815 456179.3241398908, 131982.68635092938 456179.20624733524, 131914.8347887342 456179.17562228383, 131914.89261199563 456234.48308860825, 131795.4796806492 456235.75052395125, 131683.49213354845 456234.8720748953, 131660.38529394066 456235.125030622, 131623.81215009582 456235.3078180329, 131554.8061396833 456235.9105921621, 131472.33412689186 456269.84496361663, 131424.5064838924 456195.7601905007, 131346.85141963998 456186.25983717106, 131135.34455351732 456144.16714793484, 131101.1094326115 456217.50772370805, 131042.39478571441 456328.8284305952, 130938.97574303219 456474.07789120614, 130822.67114107742 456603.3483274477, 130795.10252207436 456750.98107947636, 130788.58201930246 456751.557982293, 130728.50268607809 456761.57489926525, 130713.74440526674 456764.6620859782, 130638.84513252034 456784.6880577559, 130572.48816967184 456802.72614821285, 130486.60436792689 456826.58011161233, 130483.07018755696 456828.2775670636)",2140.043630947727
35,39,56175180073,3452.0,3541.0,12,0,20,1,"LINESTRING (130483.07018755696 456828.2775670636, 130486.60436792689 456826.58011161233, 130572.48816967184 456802.72614821285, 130638.84513252034 456784.6880577559, 130713.74440526674 456764.6620859782, 130728.50268607809 456761.57489926525, 130788.58201930246 456751.557982293, 130817.73806668271 456599.2556420899, 130933.88653853416 456470.29737684765, 131036.19565324222 456325.10878605687, 131095.76631275064 456215.1078987645, 131130.47201137414 456142.73299864214, 131135.34455351732 456144.16714793484, 131346.85141963998 456186.25983717106, 131424.5064838924 456195.7601905007, 131472.33412689186 456269.84496361663, 131554.8061396833 456235.9105921621, 131623.81215009582 456235.3078180329, 131660.38529394066 456235.125030622, 131683.49213354845 456234.8720748953, 131795.4796806492 456235.75052395125, 131914.89261199563 456234.48308860825, 131914.8347887342 456179.17562228383, 131914.79377668782 456165.90240193915, 131914.66755288147 456126.8727086776, 131981.98009518234 456127.2618631978, 132076.25325234572 456127.8058204849, 132085.0660977886 456075.67295494233, 132115.65617019637 456040.89673467254, 132167.84067666726 456044.85158248764, 132202.86607138545 455933.88647999236, 132257.1593232593 455955.1559016966, 132314.5265651756 455977.34649102495, 132371.3929665161 455999.52889069554, 132426.99577624362 456021.2503742674, 132488.00260176093 456045.4180170322, 132552.36195045267 456070.016325532, 132641.02330601952 456104.11914571153, 132664.20889435377 456112.1148111758, 132772.6352903803 455990.2551380219, 132881.79360029817 456042.68437919684, 132970.0298934239 456086.45236290334, 133042.29098045043 456121.07998361724, 133109.16573299386 456152.85068953794, 133178.42641310368 456185.0679974238, 133190.0315857775 456190.4688954788, 133202.37149491953 456196.2115102623, 133286.98754202193 456226.6830575825)",3624.648716593459
36,40,56175180073,3541.0,3544.0,13,0,15,1,"LINESTRING (133286.98754202193 456226.6830575825, 133295.16123139975 456235.6928901666, 133282.26385311026 456235.6378957708, 133265.98326083962 456228.22113037057, 133202.37149491953 456196.2115102623, 133190.0315857775 456190.4688954788, 133178.42641310368 456185.0679974238, 133109.16573299386 456152.85068953794, 133042.29098045043 456121.07998361724, 132970.0298934239 456086.45236290334, 132881.79360029817 456042.68437919684, 132772.6352903803 455990.2551380219, 132664.20889435377 456112.1148111758, 132641.02330601952 456104.11914571153, 132552.36195045267 456070.016325532, 132488.00260176093 456045.4180170322, 132426.99577624362 456021.2503742674, 132371.3929665161 455999.52889069554, 132314.5265651756 455977.34649102495, 132257.1593232593 455955.1559016966, 132202.86607138545 455933.88647999236, 132167.84067666726 456044.85158248764, 132115.65617019637 456040.89673467254, 132085.0660977886 456075.67295494233, 132076.25325234572 456127.8058204849)",1516.3129161613892
