,OPID,WoPC,Average_NO2,current_no2_y
0,56144375280,1053,32.62076301109979,32.25172525
1,58934187513,1053,32.62076301109979,26.97814620666667
4,58934189714,1053,32.62076301109979,28.43354646
5,58937625506,1053,32.62076301109979,28.199827929999998
7,58965176818,1053,32.62076301109979,34.829703605
11,58996182181,1053,32.62076301109979,25.909343205
13,58999629474,1053,32.62076301109979,31.360432220000003
16,58999650523,1053,32.62076301109979,45.55237584
17,59027185808,1053,32.62076301109979,41.29266275
18,59030612796,1053,32.62076301109979,27.86821888
19,59061633721,1053,32.62076301109979,38.578913549999996
21,59089180011,1053,32.62076301109979,31.741434069999997
23,59092592832,1053,32.62076301109979,38.319191695
25,59123647206,1053,32.62076301109979,44.14570961
26,59154702262,1053,32.62076301109979,30.57648116
29,59185639456,1053,32.62076301109979,37.28528
30,59244218234,1053,32.62076301109979,34.708119975
32,56175192907,1052,33.45132982891453,30.48796553
33,58934191946,1052,33.45132982891453,26.43420907
34,58968570605,1052,33.45132982891453,37.77897347
36,58968592336,1052,33.45132982891453,33.178717649999996
38,59058184413,1052,33.45132982891453,23.6093577
40,59089189528,1052,33.45132982891453,18.03368941
41,59120185281,1052,33.45132982891453,26.256991095
43,59123645966,1052,33.45132982891453,26.25266942
44,59154699937,1052,33.45132982891453,31.235748428333334
50,59185634713,1052,33.45132982891453,27.20342622
51,59213189373,1052,33.45132982891453,30.08257775
52,59216659885,1052,33.45132982891453,44.147487465
54,59278798765,1052,33.45132982891453,29.347426405
56,59278812653,1052,33.45132982891453,29.824702765
58,56175193465,1021,28.068766547607954,22.46467688
59,58965181809,1021,28.068766547607954,24.86573662
60,59151188877,1021,28.068766547607954,26.85430589
61,59185640603,1021,28.068766547607954,29.403101213333333
64,59278785528,1021,28.068766547607954,21.27697579
66,56175193899,1061,36.14419400749099,37.84246058
68,58934192225,1061,36.14419400749099,47.15357538
69,58968569489,1061,36.14419400749099,43.72015161
70,58999636728,1061,36.14419400749099,35.34924039
74,59058193124,1061,36.14419400749099,36.5210012
75,59151193589,1061,36.14419400749099,37.4183189675
79,59244222512,1061,36.14419400749099,33.13333569666667
82,59247798951,1061,36.14419400749099,30.930487285999998
87,59275217955,1061,36.14419400749099,30.78223479
88,56175195604,1060,22.752060343648537,8.533968
89,58996186056,1060,22.752060343648537,17.556950819999997
91,58996192907,1060,22.752060343648537,26.55401077
92,59151192442,1060,22.752060343648537,19.93615048
93,56175196379,1011,38.19896301875501,37.668883326666666
96,58968580401,1011,38.19896301875501,32.957607565
98,58996187513,1011,38.19896301875501,24.35006644
100,58999638464,1011,38.19896301875501,40.99043207
102,59058192969,1011,38.19896301875501,32.23877051
103,59123661714,1011,38.19896301875501,34.17454222
105,59182185653,1011,38.19896301875501,40.94991404
106,59278812529,1011,38.19896301875501,28.787089270000003
108,56175196534,1016,30.095193325918178,32.428602476
113,58965174214,1016,30.095193325918178,28.1425257
117,58968587531,1016,30.095193325918178,31.822261179999998
119,58996186707,1016,30.095193325918178,22.96679221
120,58996187141,1016,30.095193325918178,27.419263556666667
123,59058182367,1016,30.095193325918178,32.725595035
125,59123664442,1016,30.095193325918178,28.81705293
126,59151188350,1016,30.095193325918178,35.05552806
127,59154696372,1016,30.095193325918178,23.55789258
129,59213187947,1016,30.095193325918178,31.374478625
131,59244208190,1016,30.095193325918178,49.60578596
132,59275219257,1016,30.095193325918178,31.164360105
