OPID,WoPC,res_no2,mob_no2
56144379341,1062,36.50650769,35.52750576
56144379341,1062,36.50650769,35.52750576
56144379341,1062,36.50650769,35.52750576
56175196131,1098,31.85128761,28.69279373
56175196131,1098,31.85128761,28.69279373
56175197030,1064,24.72436056,20.78770645
56175197030,1064,24.72436056,20.78770645
56175197154,1066,27.24088671,28.92282381
56175197154,1066,27.24088671,28.92282381
56175200440,1059,32.41700536,28.19263823
56175202548,1032,23.11213869,35.26487192
56175202548,1032,23.11213869,35.26487192
56175202548,1032,23.11213869,35.26487192
56178393347,1032,23.11213869,26.95606951
56178398090,1059,32.41700536,30.18958578
56178407979,1069,21.12580737,19.93090974
56178407979,1069,21.12580737,19.93090974
58934188536,1019,33.35599031,20.85110867
58934188536,1019,33.35599031,20.85110867
58934190644,1066,27.24088671,33.44481044
58934190644,1066,27.24088671,33.44481044
58934190861,1022,28.24579227,20.40435643
58934190861,1022,28.24579227,20.40435643
58934191543,1060,22.75206034,24.74386345
58934191543,1060,22.75206034,24.74386345
58934191574,1098,31.85128761,30.28247591
58934191574,1098,31.85128761,30.28247591
58934191760,1052,33.45132983,36.45048765
58934191760,1052,33.45132983,36.45048765
58934192070,1095,34.31355956,29.91553077
58934193465,1083,25.94351931,24.30738761
58934193465,1083,25.94351931,24.30738761
58934193868,1108,36.95544425,51.87650668
58934194178,1103,28.27148116,32.56752984
58934194178,1103,28.27148116,32.56752984
58937613478,1069,21.12580737,20.84079616
58937613478,1069,21.12580737,20.84079616
58937613633,1056,36.14041156,34.94487095
58937613633,1056,36.14041156,34.94487095
58937615214,1019,33.35599031,49.10534735
58937618624,1033,25.78639443,35.6339184
58937618624,1033,25.78639443,35.6339184
58937624359,1087,17.76626915,22.51581336
58937624359,1087,17.76626915,22.51581336
58937634124,1065,21.83494777,27.73758545
58937634124,1065,21.83494777,27.73758545
58937634124,1065,21.83494777,27.73758545
58965173470,1069,21.12580737,19.45169752
58965173470,1069,21.12580737,19.45169752
58965173470,1069,21.12580737,19.45169752
58965173625,1071,26.10105385,22.21513359
58965174152,1086,21.36962952,25.07329771
58965174152,1086,21.36962952,25.07329771
58965174307,1062,36.50650769,39.15446041
58965175392,1106,24.32530019,43.71689372
58965176105,1087,17.76626915,33.91229288
58965176105,1087,17.76626915,33.91229288
58965177624,1064,24.72436056,33.50779142
58965177624,1064,24.72436056,33.50779142
58965177748,1066,27.24088671,25.47759613
58965179484,1067,26.9174433,24.43781284
58965179484,1067,26.9174433,24.43781284
58965181809,1021,28.06876655,16.21110957
58965182119,1087,17.76626915,15.60956996
58965183793,1069,21.12580737,21.14587622
58965183793,1069,21.12580737,21.14587622
58965183793,1069,21.12580737,21.14587622
58968585020,1107,17.91218996,30.7919632
58996183793,1069,21.12580737,22.5925357
58996183793,1069,21.12580737,22.5925357
58996185746,1072,29.47638734,24.36675088
58996187327,1087,17.76626915,36.22218782
58996187389,1078,32.23307736,34.41653212
58996187761,1024,22.61716225,26.89480369
58996187761,1024,22.61716225,26.89480369
58996189125,1083,25.94351931,66.58135007
58996191109,1061,36.14419401,46.20681221
58996191450,1032,23.11213869,20.38392447
58996191450,1032,23.11213869,20.38392447
58996191481,1033,25.78639443,26.37188821
58996191481,1033,25.78639443,26.37188821
58996192938,1024,22.61716225,24.86498574
58996192938,1024,22.61716225,24.86498574
58999626033,1062,36.50650769,21.24932814
58999636139,1062,36.50650769,34.96223381
58999636139,1062,36.50650769,34.96223381
58999636139,1062,36.50650769,34.96223381
58999636139,1062,36.50650769,34.96223381
58999638464,1011,38.19896302,40.19227799
58999638464,1011,38.19896302,40.19227799
58999638464,1011,38.19896302,40.19227799
58999642711,1051,29.94803067,37.85804125
58999647330,1066,27.24088671,30.23129118
58999647330,1066,27.24088671,30.23129118
59027182119,1076,35.39856929,30.12093803
59027183762,1022,28.24579227,31.78496343
59027183762,1022,28.24579227,31.78496343
59027184010,1034,23.16527192,23.87560117
59027187792,1078,32.23307736,9.694108577
59027188102,1060,22.75206034,26.14184679
59027188102,1060,22.75206034,26.14184679
59027188412,1055,36.2696021,47.84900701
59027189280,1082,22.2701979,32.85479428
59027189280,1082,22.2701979,32.85479428
59027190706,1019,33.35599031,20.02851861
59027191543,1071,26.10105385,39.89718161
59027191543,1071,26.10105385,39.89718161
59027191543,1071,26.10105385,39.89718161
59027191543,1071,26.10105385,39.89718161
59027191698,1098,31.85128761,37.6881223
59030603124,1032,23.11213869,35.14679984
59030603124,1032,23.11213869,35.14679984
59030616733,1069,21.12580737,31.05965016
59030616733,1069,21.12580737,31.05965016
59058184258,1087,17.76626915,28.08329807
59058184258,1087,17.76626915,28.08329807
59058186769,1078,32.23307736,21.39122596
59058187141,1066,27.24088671,33.85846838
59058189094,1071,26.10105385,39.20709048
59058189094,1071,26.10105385,39.20709048
59058190210,1074,30.05806788,27.42977067
59058190210,1074,30.05806788,27.42977067
59058190210,1074,30.05806788,27.42977067
59058190768,1069,21.12580737,23.48662211
59058190768,1069,21.12580737,23.48662211
59058192907,1065,21.83494777,22.73962829
59058192907,1065,21.83494777,22.73962829
59058193682,1058,33.74793584,32.79547143
59058193682,1058,33.74793584,32.79547143
59058194209,1066,27.24088671,30.32271892
59058195077,1072,29.47638734,22.4332979
59058195077,1072,29.47638734,22.4332979
59058195883,1060,22.75206034,36.85547629
59058195883,1060,22.75206034,36.85547629
59061611742,1078,32.23307736,29.94983168
59061611742,1078,32.23307736,29.94983168
59061611742,1078,32.23307736,29.94983168
59061621755,1104,26.34232467,35.80949148
59061621755,1104,26.34232467,35.80949148
59061622003,1106,24.32530019,19.01442308
59061622871,1091,32.4946677,35.97958983
59061622871,1091,32.4946677,35.97958983
59061634310,1033,25.78639443,34.56937294
59089178926,1066,27.24088671,35.54166648
59089179329,1079,33.90023542,29.3989007
59089179329,1079,33.90023542,29.3989007
59089179329,1079,33.90023542,29.3989007
59089187606,1109,20.87664399,27.55920411
59089188226,1106,24.32530019,21.78442734
59089190644,1081,27.31671948,22.81389169
59089190644,1081,27.31671948,22.81389169
59092591468,1032,23.11213869,34.02429686
59092591468,1032,23.11213869,34.02429686
59092593483,1051,29.94803067,35.59311918
59092600148,1052,33.45132983,24.03227175
59092600148,1052,33.45132983,24.03227175
59092602473,1015,29.54187511,21.82848928
59092603124,1011,38.19896302,38.06573221
59092603124,1011,38.19896302,38.06573221
59092607495,1035,38.21273279,45.47081447
59120186800,1064,24.72436056,34.69566373
59120186800,1064,24.72436056,34.69566373
59120188691,1076,35.39856929,39.39389387
59120189063,1034,23.16527192,23.68378409
59120189063,1034,23.16527192,23.68378409
59120191543,1012,35.61413514,25.19267322
59120191543,1012,35.61413514,25.19267322
59120191915,1015,29.54187511,22.78065917
59120192783,1092,25.32007672,38.66131605
59120193124,1051,29.94803067,38.47280301
59123640758,1104,26.34232467,28.95193346
59123640758,1104,26.34232467,28.95193346
59123642060,1069,21.12580737,25.64674159
59123642060,1069,21.12580737,25.64674159
59123644509,1051,29.94803067,31.32588288
59123668038,1033,25.78639443,21.56136679
59123668038,1033,25.78639443,21.56136679
59151184165,1063,29.94212808,35.42982193
59151184165,1063,29.94212808,35.42982193
59151184444,1082,22.2701979,28.60286267
59151184444,1082,22.2701979,28.60286267
59151187606,1087,17.76626915,34.64018634
59151187606,1087,17.76626915,34.64018634
59151187606,1087,17.76626915,34.64018634
59151188536,1097,29.82096913,24.40555249
59151188536,1097,29.82096913,24.40555249
59151191016,1033,25.78639443,22.96723558
59151192628,1075,27.21630391,31.49469462
59151193589,1061,36.14419401,32.62365764
59151193806,1036,17.98373927,22.42412053
59151196596,1053,32.62076301,28.99141809
59151196596,1053,32.62076301,28.99141809
59154671944,1021,28.06876655,24.41843654
59154671944,1021,28.06876655,24.41843654
59154677276,1095,34.31355956,30.05576243
59154702944,1104,26.34232467,44.79258107
59154702944,1104,26.34232467,44.79258107
59182183297,1060,22.75206034,24.97410916
59182183297,1060,22.75206034,24.97410916
59182184506,1018,31.36515119,36.36143419
