,Unnamed: 0,Postcode4,Opp_m2,geometry,9NO2,10NO2,11NO2,12NO2,13NO2,14NO2,15NO2,16NO2,17NO2,18NO2,19NO2,20NO2,Total_NO2,Average_NO2
0,0,1037,1462228,"POLYGON ((118866.65073426955 492225.8718293957, 118841.40562748797 492188.2252457802, 119191.5127399197 492027.44378739485, 119377.80540565455 491915.1581444915, 119662.74499924094 492398.7989411721, 119707.7942125214 492475.47473988443, 119740.81624786516 492526.75622981467, 119773.99961308886 492572.15062209434, 119815.63853144154 492621.36817386426, 119863.11131833441 492667.4178003184, 119922.54195924176 492720.0700593228, 120050.53425365864 492820.4160796595, 120069.29518036512 492838.53128623747, 120092.2144916938 492864.6285203392, 120112.61809621078 492892.85779255006, 120130.30559887495 492922.7754114835, 120163.70748784179 492991.30382032995, 120189.02076260166 493048.31754409504, 120216.43217551704 493116.44355531264, 120241.33846341686 493185.36627891095, 120267.15046838362 493267.0787616689, 120268.39851694577 493280.08851907105, 120271.12468494044 493280.84819223004, 120245.40615960793 493299.1664847567, 120210.42226423296 493333.6844313987, 120178.66418285678 493373.18697372096, 120109.78907432168 493475.1522119585, 120102.4448174698 493474.425334385, 120050.7989335531 493644.1440296134, 120044.85887667767 493650.52854813915, 120031.19875912329 493652.07198791724, 120010.1040274687 493650.66397278005, 120005.7347026995 493657.93867018697, 120003.82436262631 493658.063508694, 119990.54108211631 493673.3907177198, 119967.14524312498 493692.70655687153, 119941.40743685828 493706.8985064144, 119889.61634968486 493723.40144008497, 119875.02899385357 493746.53827918926, 119865.21371322437 493742.60254902137, 119842.92721263727 493718.05961637164, 119837.84641434037 493710.41825254017, 119819.80525251827 493699.42005267163, 119812.55044546058 493683.5602673965, 119803.51694887526 493674.8344709654, 119753.91082077805 493729.58894054743, 119739.14905175671 493738.7185549275, 119683.8174568502 493762.14773807424, 119599.80772388692 493779.31874012144, 119565.3146037222 493777.8976517504, 119550.43728095831 493780.352470962, 119523.72925940089 493773.8685162404, 119511.03608894726 493767.95135374, 119502.23913055134 493765.6780587256, 119485.65631470698 493766.4763123934, 119430.63137241077 493747.3898868041, 119429.24400814658 493735.16020634334, 119326.3624419797 493699.9638542658, 119334.74374054169 493664.5193231811, 119327.71920302644 493661.8996980199, 119330.47249051883 493637.2891006946, 119327.66060962778 493617.1695943631, 119317.6504303164 493586.4202997089, 119310.12098135645 493570.45196032606, 119030.71967983068 493180.5909039521, 119011.65439120957 493150.0307343892, 119000.35590308656 493121.17195547157, 118994.30595927525 493094.73391519557, 118990.66778321692 493061.3683965039, 118992.8184846266 493029.87442194147, 118996.76387449645 493011.2523928964, 119016.45684679793 492960.9369558086, 119118.44085142153 492737.7648954828, 119127.04325107194 492705.5564193004, 119128.71900436303 492682.5002437204, 119127.5487925343 492652.5771838271, 119119.45123169114 492614.91566975147, 119111.04780256731 492590.38623326167, 119099.94316053676 492569.5483904065, 118866.65073426955 492225.8718293957))",51.35131882069325,31.771033224117986,52.56451152549156,40.125442369506864,34.07006894889852,39.13446880664643,53.58321397982857,79.46400433205451,63.97574900800255,57.738868782667616,46.46741440510294,33.785226619163915,584.0313208221747,48.66927673518123
1,1,1041,3274257,"POLYGON ((116941.17227369812 492698.9085187487, 116938.50984247302 492697.70510766166, 116880.67083689822 492432.00478490815, 116612.61210396636 492493.71514580486, 116579.05189019718 492464.0449449569, 116617.78960574322 492345.2402350729, 116661.7122233295 492350.4618886148, 116732.70379393385 492074.18253095634, 116804.14971905354 492092.5442878625, 116798.00459558777 492037.06808855204, 116798.1934036221 491981.5428071557, 116801.97830694646 491944.9167167588, 116813.2597728089 491890.52946895227, 116836.54509499736 491821.35051931127, 116846.9453222045 491802.46535839065, 116861.39349020875 491770.30775638425, 116884.2425454263 491724.6215526309, 116901.95550615611 491693.11758326966, 116934.76917036294 491641.55745474965, 116980.16201973539 491581.6776656532, 117009.79337950305 491549.62598980643, 117046.46897843227 491515.0723187651, 117065.74764106088 491499.33500137564, 117384.22176512092 491262.1262241327, 117592.64063637401 491114.88819962187, 117933.84206804069 490861.6205296631, 118056.85591068001 490767.01937418303, 118347.95876084326 490533.840169974, 118395.33622267662 490498.3270758822, 119015.70968310628 491329.2943797613, 119107.73986788465 491454.9033054215, 119377.80540565455 491915.1581444915, 119191.5127399197 492027.44378739485, 118841.40562748797 492188.2252457802, 118866.65073426955 492225.8718293957, 118552.36712878074 492313.98605992994, 118506.6460827258 492330.235970302, 118426.53930613643 492355.40927569376, 118319.96714429675 492386.8116144091, 118208.73348493844 492414.2230964688, 118133.82818493819 492432.2522148789, 117525.37877787443 492561.1298217234, 117354.9761739742 492598.7025751094, 117211.75239301722 492632.512127901, 117065.11261276086 492671.2591775313, 117000.46215562809 492686.878883626, 116941.17227369812 492698.9085187487))",36.40737953425116,39.1493713603946,28.072279703320405,36.83809353888144,39.64981579256011,31.557209733186006,39.91994432669009,46.25498646222935,40.80878076589365,25.74946179089221,33.14354388181254,22.271759168368003,419.82262605847956,34.98521883820663
2,2,1073,585996,"POLYGON ((121324.65047856962 485708.3661907656, 121303.4314167024 485463.0539897461, 121324.74613149074 485451.6927765734, 121353.42560163853 485351.34507859714, 121375.36344790724 485291.33355309995, 121437.23381534369 485152.172827343, 121435.94314969308 485151.736528622, 121451.53512349236 485112.1082632973, 121459.20489825582 485005.4839071835, 121437.91160477255 485000.2765975128, 121449.40509841024 484949.0153376541, 121432.93231363609 484839.0834963406, 121439.35927646642 484793.2086467302, 121482.58320658402 484597.08399143256, 121480.14887187807 484568.71613373805, 121545.79852990489 484563.16382586415, 122089.53779208616 484682.7839942081, 121998.80759148693 485095.19087136176, 121980.43120515975 485149.0559939821, 121943.51763941973 485222.40582874866, 121918.41975316302 485268.4161971518, 121795.41860953142 485529.0631043556, 121764.72491754079 485645.08826281823, 121759.10239215684 485689.28830972186, 121712.34076721994 485676.0398014817, 121676.74128416524 485671.3841521476, 121324.65047856962 485708.3661907656))",33.135945160749905,42.95423264874352,47.691600602481074,36.17931646986465,20.99713683977969,41.69991593149327,23.775064024935865,31.461273119026373,25.82111673646503,21.666550322488703,14.255005048116049,19.529356684323638,359.1665135884678,29.930542799038985
3,3,1074,429512,"POLYGON ((121759.10239215684 485689.28830972186, 121764.72491754079 485645.08826281823, 121795.41860953142 485529.0631043556, 121918.41975316302 485268.4161971518, 121943.51763941973 485222.40582874866, 121980.43120515975 485149.0559939821, 121998.80759148693 485095.19087136176, 122089.53779208616 484682.7839942081, 122558.32742513018 484785.94281484047, 122503.70881493611 484935.06656653294, 122376.70547164854 485160.99821712973, 122254.78903779894 485383.78409571823, 122221.50270739125 485471.2388064561, 122144.12480208414 485759.1576305761, 122126.89123437967 485810.5779113092, 122083.64953134482 485792.6069659454, 121924.9254421691 485743.26339099824, 121759.10239215684 485689.28830972186))",37.037347292132566,42.82871414330399,44.44137343400672,28.94284381726095,24.670705460839702,31.205305946607037,33.51320703185413,28.16069501450556,25.48185822756545,23.58307582204536,20.488790586411376,20.342897796293443,360.69681457282627,30.058067881068855
4,4,1072,593280,"POLYGON ((120953.01264919556 485932.01559163723, 120923.81907482457 485897.9575740047, 120912.06490399824 485861.98787383037, 120895.43747950647 485556.438383342, 120906.9273782445 485284.64272893325, 120905.72583123535 485169.8225526758, 120893.71908467499 485138.97299362853, 120887.82559353585 485114.3122320014, 120886.5727447806 485099.63352666097, 120885.17689840117 485006.06689214427, 120886.94151842158 484866.98102297226, 120868.56344760931 484624.19924996217, 121208.92292000158 484594.5982011024, 121480.14887187807 484568.71613373805, 121482.58320658402 484597.08399143256, 121439.35927646642 484793.2086467302, 121432.93231363609 484839.0834963406, 121449.40509841024 484949.0153376541, 121437.91160477255 485000.2765975128, 121459.20489825582 485005.4839071835, 121451.53512349236 485112.1082632973, 121435.94314969308 485151.736528622, 121437.23381534369 485152.172827343, 121375.36344790724 485291.33355309995, 121353.42560163853 485351.34507859714, 121324.74613149074 485451.6927765734, 121303.4314167024 485463.0539897461, 121324.65047856962 485708.3661907656, 121200.56254225053 485721.46468927164, 121176.80807864765 485725.52173898544, 121158.31265931606 485730.5442655282, 121132.14712596196 485740.6265272145, 121104.67256195223 485755.5024377398, 121078.2407474349 485775.3783976162, 121056.31051059469 485797.0038389993, 121036.51813153198 485821.39637330984, 121022.02319617977 485843.41590174695, 121006.56167596992 485872.4520143855, 120991.03774177906 485894.3785821957, 120971.36306971134 485915.9777501651, 120953.01264919556 485932.01559163723))",32.68518955918572,45.46610678645192,52.78497541833662,34.368552545377604,26.255282419847727,29.133132592126103,24.415578336276,34.72186962917653,21.265012517573368,18.7702239626778,13.616487437582474,20.23423691673582,353.7166481213477,29.47638734344564
5,5,1017,1284627,"POLYGON ((120400.55328584707 486457.92675488273, 120399.93925245422 486438.34784686565, 120402.28379023545 486412.3057718539, 120406.36650136783 486393.2391636277, 120413.2533380145 486374.8205216224, 120424.32330276776 486360.4004993739, 120435.97788675039 486351.63996204553, 120467.13961486181 486336.84573907935, 120489.37872356095 486322.11408342025, 120510.23452733585 486303.3865388185, 120528.47767579788 486283.11957282474, 120548.18513706392 486256.94524341024, 120551.91894743772 486246.34871038306, 120559.06723709633 486216.4789643517, 120561.87238889195 486187.97474439, 120568.1308479628 486167.23521224526, 120579.66130824026 486149.3630277088, 120593.93776169843 486137.4579593073, 120607.16363474233 486129.2321006278, 120620.97072573505 486124.2512600293, 120699.07706780487 486120.4811854063, 120727.2275719997 486113.16451745416, 120740.05150258381 486106.8556197168, 120752.12730829165 486098.7494021577, 120953.01264919556 485932.01559163723, 120971.36306971134 485915.9777501651, 120991.03774177906 485894.3785821957, 121006.56167596992 485872.4520143855, 121022.02319617977 485843.41590174695, 121036.51813153198 485821.39637330984, 121056.31051059469 485797.0038389993, 121078.2407474349 485775.3783976162, 121104.67256195223 485755.5024377398, 121132.14712596196 485740.6265272145, 121158.31265931606 485730.5442655282, 121176.80807864765 485725.52173898544, 121200.56254225053 485721.46468927164, 121324.65047856962 485708.3661907656, 121676.74128416524 485671.3841521476, 121712.34076721994 485676.0398014817, 121759.10239215684 485689.28830972186, 121924.9254421691 485743.26339099824, 122083.64953134482 485792.6069659454, 122126.89123437967 485810.5779113092, 122098.21264222907 485892.53963906853, 122002.65481933374 486211.0696139832, 121921.72107648081 486473.8697354117, 121899.15992907892 486542.6732986789, 121868.05249189827 486637.014704406, 121768.54761709567 486698.65846171527, 121735.23547614124 486708.896964427, 121630.13320903775 486727.9544775648, 121550.21326928963 486723.0655334056, 121495.1672559657 486722.2037887649, 121465.22272527445 486715.73104989814, 121430.61576489765 486713.74092199485, 121400.50691722354 486714.16831450735, 121395.45566362423 486711.5433928602, 121364.65161217118 486678.91798287095, 121350.64856153983 486672.01465734636, 121323.25688040548 486671.4114571782, 121254.75147202873 486673.5483318411, 121215.01827734894 486679.9509968288, 121142.95340110856 486699.34922504553, 121111.73381483485 486715.5860761344, 121005.0541494332 486851.3992203817, 120912.2751486373 486800.95584840793, 120909.37652568176 486746.14289215894, 120855.27883920248 486713.0139549207, 120806.7420839947 486687.3131787678, 120644.88393988485 486595.5280760113, 120515.96708654345 486520.4196581775, 120400.55328584707 486457.92675488273))",31.81222210158725,43.21481240591329,28.120105362654417,23.061884505750125,33.33488659424677,25.72105883763503,22.43884618293669,36.21415263068846,24.25266942303531,18.92653942573649,16.1544217897578,25.860496680401575,329.11209594034324,27.426007995028602
6,6,1019,3887487,"POLYGON ((122548.04038039071 488111.138087409, 122584.83922602725 487857.53867219883, 122557.2276191228 487862.838459851, 122597.91800052155 487557.47405480547, 122689.52176513105 487570.57055570657, 122730.16353595792 487660.20920132624, 122817.35047204295 487685.5541721892, 123267.34160848081 487570.03695897793, 123433.39223191311 487531.5860338013, 123667.62600160707 487397.57338763133, 123708.38382676257 487436.1583907558, 123854.9319526483 487371.90890165995, 123902.07851667918 487341.6694506963, 123924.37382047798 487324.18237675197, 123944.61643099342 487305.13944606646, 123964.70620739905 487283.42713590414, 123983.22758253294 487260.2782857033, 123998.41512263713 487238.69706831686, 124008.08976162272 487218.7305151577, 124012.29802412298 487216.47873785225, 124017.60655111185 487217.0017499263, 124026.88014469476 487197.13789382536, 124022.51086960481 487193.2709454452, 124021.99173805985 487187.5995510245, 124034.1758505789 487165.94828725175, 124042.33322743482 487140.7394908029, 124051.6051364062 487098.8446962413, 124052.49219296331 487078.47714996827, 124054.79572267318 487075.46960686834, 124060.10818263845 487074.4237669306, 124065.22771557764 487043.6818020991, 124060.41759529767 487039.038709736, 124061.29297262622 487003.7613749494, 124063.3106404359 486987.7373130784, 124059.63330001819 486934.56330137054, 124054.70250653505 486897.6533561666, 124049.22636730633 486871.53979726945, 124037.32002870174 486830.111643879, 124003.38273015126 486739.19645910844, 124004.87829317388 486738.7419975571, 124005.71356123236 486731.8381610209, 124009.91392869965 486728.26235208183, 123968.07759283496 486617.2464520918, 124002.80769172189 486617.25078159146, 124021.52907407963 486614.6853716201, 124504.68670574433 486622.692413395, 125221.51537590222 486624.65838154266, 125351.03935141864 486657.03640888317, 125350.70584898484 486702.43549412105, 125521.1910674636 486704.52992873604, 125541.24608131206 486708.52709586534, 125571.96080806169 486719.47062607296, 125592.59287410128 486730.0293333224, 125615.99013285538 486747.45911275415, 125626.20785210431 486757.9798232194, 125671.15856607177 486817.3518293296, 125677.70941764332 486852.69592298823, 125680.96397018046 486906.418716843, 125679.49970330123 486936.23593754903, 125568.6062884516 487710.2158154315, 125620.26902136591 487717.91924200626, 125602.98890677783 487834.9643289237, 125598.41754975382 487879.1647821532, 125640.37440877802 487937.1079143142, 125676.9659637966 487942.56499059487, 125687.29607771881 487949.5134741176, 125774.86184663711 488065.36883810465, 125769.50925971915 488069.8623713927, 125766.49844004175 488080.0055562277, 125768.35484630447 488081.88610748225, 125773.7038313414 488099.7796296558, 125779.18838818648 488106.0782736457, 125780.37729270894 488112.52475281793, 125806.3042608008 488107.5979159358, 125813.27521529247 488123.45681505935, 125819.31310608317 488120.8619514846, 125829.11250124678 488142.9462582397, 125823.06782381257 488145.5411502203, 125823.29905952179 488147.79851474985, 125813.24621177351 488155.39078095317, 125811.30516832724 488171.4247941134, 125806.69826791383 488175.3464129508, 125806.5798665316 488178.3513382375, 125808.36395786084 488180.67740267044, 125802.79835617065 488184.82723217335, 125809.18867730703 488193.4794229818, 125806.00629408285 488196.4913484018, 125821.10649658302 488216.8752686294, 125831.75467630092 488209.802455198, 125833.95121116228 488212.79369633924, 125824.25601843932 488220.97354612243, 125834.91100237005 488213.90069919033, 125837.10753351578 488216.89194174815, 125831.01261494237 488222.4913468694, 125838.06798078924 488218.11020892306, 125840.25769950399 488221.1014931422, 125834.2998456285 488225.6986759555, 125836.571692141 488229.9134166315, 125834.89277824384 488232.7050295488, 125837.49012086978 488236.6953116145, 125846.44912292974 488242.2057506793, 125852.64343188245 488243.0592974859, 125871.19882358094 488237.49761319504, 125882.51610214045 488237.65335239936, 125896.16889211212 488243.5923827391, 125911.97582245624 488258.05297508865, 125927.7744064219 488246.8442359888, 125954.7550045316 488284.5163215323, 125890.14732736745 488333.1871888906, 125805.56827608484 488375.63478806627, 125689.87354976326 488396.02618699573, 125522.49847791843 488393.0065184743, 125204.67379252147 488382.44239706727, 124769.07508506934 488385.99332155206, 124540.59269036155 488387.7323178082, 124371.93641572971 488377.09323594964, 123944.99559113695 488350.05338647304, 123356.6147777507 488238.4067656133, 123018.91269921008 488178.6077047197, 122576.0273532249 488112.40058879904, 122548.04038039071 488111.138087409))",43.87763564655402,43.19533840279989,28.45024222106598,23.69239756646906,25.7550854844318,38.129763351968286,51.71232841222524,31.12794399507798,21.399431587713536,23.8899650317518,48.06229447014856,20.979457557394586,400.27188372760077,33.355990310633395
7,7,1012,1131783,"POLYGON ((121094.27450739514 487514.27816636354, 121066.58770492193 487400.75224042655, 121060.44578782862 487368.1928611144, 121038.56211027331 487276.769594283, 120989.42616412998 486885.443685476, 120991.06295438559 486876.8647546262, 121005.0541494332 486851.3992203817, 121111.73381483485 486715.5860761344, 121142.95340110856 486699.34922504553, 121215.01827734894 486679.9509968288, 121254.75147202873 486673.5483318411, 121323.25688040548 486671.4114571782, 121350.64856153983 486672.01465734636, 121364.65161217118 486678.91798287095, 121395.45566362423 486711.5433928602, 121400.50691722354 486714.16831450735, 121430.61576489765 486713.74092199485, 121465.22272527445 486715.73104989814, 121495.1672559657 486722.2037887649, 121510.81572453436 486738.77668157313, 121530.72059423508 486771.3656188865, 121561.46407726055 486824.45466853376, 121570.74627197199 486847.424290464, 121735.2484297601 487124.1493418278, 121772.52070772315 487188.6563201512, 121811.21620287912 487260.3753101332, 121857.44154944575 487307.5872952942, 121908.7602052755 487476.70431696344, 121978.737904929 487695.22247333627, 122045.85731627609 487744.6108214754, 122066.10539229939 487809.3450016085, 122117.13293077622 487893.67980603507, 122263.23925117806 488127.1504472936, 122199.77311906713 488145.81991516735, 122120.84039238552 488175.1748528059, 122049.64772356642 488210.2430660389, 121970.44333412658 488257.7278512478, 121908.62178365373 488298.8662862778, 121853.37555578645 488345.63601637015, 121793.22678725797 488402.33112952963, 121745.45500092546 488456.62917392043, 121599.95105375448 488244.989249561, 121541.39321865203 488143.4530277577, 121499.32383817964 488085.8789239537, 121440.71984248843 488020.18374375254, 121417.58056466043 487990.9663227643, 121285.4548189436 487798.9279581327, 121119.73083413435 487554.0486653125, 121094.27450739514 487514.27816636354))",30.691967465432267,41.73635765400623,35.093013425180345,31.22603551951178,33.02820820020849,33.706530180866295,38.17228766397227,42.02344052590703,31.642026885777263,27.195531553892646,22.1177214959807,60.73650111412278,427.3696216848581,35.61413514040484
8,8,1016,787883,"POLYGON ((120152.54488438257 487403.7836595548, 120147.3382602002 487380.12023765186, 120135.18446511572 487355.39321051794, 120107.33525643 487328.106713169, 120096.75093060925 487313.49411637365, 120088.46488540876 487297.41879345616, 120080.36931329954 487269.77021444764, 120081.08240348563 487254.08744012413, 120084.48212260549 487235.0253509493, 120120.38298213418 487100.58174349193, 120162.39340715452 486984.2320714988, 120183.74749532757 486941.1317919479, 120204.6347729001 486909.05047223426, 120231.62986269468 486873.8107031599, 120255.55949018094 486818.1192873567, 120264.8878849487 486789.68020330905, 120269.23025779094 486767.9523201828, 120275.4593616043 486704.5968127944, 120285.73288148368 486664.2565451762, 120310.75568912762 486630.1326691963, 120354.39122309866 486586.87664882734, 120365.66087873335 486571.8876137433, 120376.84362922686 486553.23848872015, 120390.44617017287 486522.1993926842, 120396.63925359183 486502.01641974103, 120400.24085087568 486480.40513197536, 120400.55328584707 486457.92675488273, 120515.96708654345 486520.4196581775, 120644.88393988485 486595.5280760113, 120806.7420839947 486687.3131787678, 120855.27883920248 486713.0139549207, 120909.37652568176 486746.14289215894, 120912.2751486373 486800.95584840793, 121005.0541494332 486851.3992203817, 120991.06295438559 486876.8647546262, 120989.42616412998 486885.443685476, 121038.56211027331 487276.769594283, 121060.44578782862 487368.1928611144, 121066.58770492193 487400.75224042655, 121094.27450739514 487514.27816636354, 121006.17490357181 487556.94366982975, 120995.46836851092 487544.8891812628, 120753.9898147647 487682.54013016494, 120704.27860028774 487596.3073956255, 120678.05234617885 487603.93358563015, 120246.8349945503 487446.8472815945, 120251.00004918821 487458.067196567, 120251.05143606213 487464.3980116176, 120240.5513011912 487463.5706820391, 120154.9824342074 487477.9825392366, 120151.96340456032 487437.16831502295, 120152.54488438257 487403.7836595548))",41.835384493432215,28.23543983807491,31.070093670927367,22.313947570929187,25.986192934845928,28.546858652979203,28.59678878624635,34.6696743085366,42.31039799609735,15.781238274124696,24.21551067795889,37.580792706865445,361.14231991101815,30.095193325918178
9,9,1051,979028,"POLYGON ((119153.50323970328 488744.3849475273, 119155.37968621044 488646.5658899275, 119161.8592965648 488602.23377285973, 119172.51468133443 488567.5517405708, 119196.6148542905 488510.9634384732, 119215.8938596936 488457.97083561274, 119235.97315529035 488390.3962913834, 119282.49681632873 488187.10487515474, 119345.48311635296 487894.34620260564, 119414.85738909412 487571.2774119544, 119423.46047097843 487546.06866189546, 119435.49973939467 487525.17464227387, 119590.04883242902 487311.0951514894, 119767.75665436522 487629.7205005898, 119812.61870294652 487722.1873142704, 119884.15549607817 487842.86039570085, 119987.87270191434 488036.8546458344, 120020.4740605427 488092.35789609764, 120056.5911368829 488201.1564095013, 120043.75146672312 488214.9222782786, 120039.28790324341 488227.8610707331, 120040.37069224656 488247.1028818786, 120049.51179259745 488268.7355167577, 120422.09168962899 488646.76045573084, 120554.15277449638 488769.3448753674, 120530.5450169339 488772.73655840935, 120503.04732709946 488773.83003797027, 120461.49558518708 488770.7715785763, 120129.00296097377 488765.3217528311, 119153.50323970328 488744.3849475273))",36.34419733638963,38.42278991132664,41.63897016765396,23.92317664977134,19.37026199390153,22.21953088448895,36.28216446288161,36.164432454848765,25.70890021740352,24.84782662871347,17.537678365894312,36.91643893473634,359.37636800801,29.948030667334166
