field_1,Unnamed: 0,OPID,VertPC,AankPC,VertUur,VertMin,Reisduur,Hvm,geometry,length_m
"1","3","56175178182","3525.0","3525.0","13","15","5","8",,
"8","10","56175178833","3552.0","3551.0","8","35","5","8","LINESTRING (135644.05209253923 457769.864371804, 135574.0437453409 457673.2181562145, 135524.09867493977 457709.41734652565, 135504.07610203847 457682.0589108891, 135481.34501088315 457648.9033793884, 135447.31042578677 457607.2586766685, 135405.7557108396 457552.42606251163, 135363.5228921827 457485.7138437163, 135292.50525589765 457373.6103510163, 135270.5341415497 457328.937307123, 135264.1945269398 457307.67830763507, 135222.1180510819 457250.2680541066, 135184.11731231067 457203.1891525615, 135181.10123290663 457199.3960549162, 135169.0436765583 457184.2125296088, 135141.1784074493 457158.46671860944, 135136.64533534774 457153.9898873397, 135185.25946770018 457108.0457274874, 135189.68552600537 457113.1794658813)","935.2291779061586"
"10","12","56175178833","3551.0","3551.0","11","0","15","8",,
"17","19","56175179143","3554.0","3439.0","18","0","45","8","LINESTRING (134837.6770455701 458548.82141364337, 134812.8652407292 458521.26262027473, 134770.3103896333 458481.4483865402, 134765.0819245569 458475.8843624104, 134770.29466455567 458470.8452970694, 134808.9387634355 458433.12663629994, 134825.82744845728 458417.1811956248, 134850.2064641998 458393.5952278192, 134889.0162783699 458359.2922341366, 134891.7274752183 458357.25632735953, 134916.9546619696 458331.5199309441, 134918.3959644754 458301.67397935403, 134901.63199322237 458268.9753971783, 134881.00703833214 458225.0885303133, 134836.04154799785 458133.524999095, 134820.22331687494 458097.8188207016, 134806.26684594477 458065.16480501957, 134791.24089524677 458045.84420763125, 134786.3881320995 458040.12287111836, 134767.11022911998 458019.68476652406, 134760.0549787891 458013.11570676195, 134759.83270371502 458000.5775284924, 134759.31581908572 457993.08065945766, 134780.248172834 457972.2120328341, 134802.01795307721 457914.5906869956, 134848.10079914227 457792.6178564878, 134892.05352350944 457676.98482661933, 134910.60899073313 457633.68510503205, 134910.2570133364 457627.9566035642, 134787.16976043323 457500.7279492025, 134770.25184146338 457481.58199968835, 134738.74558392333 457441.7453887684, 134704.57105436688 457406.3035294239, 134666.78147517183 457366.5486385902, 134622.4200808233 457316.5738424722, 134604.2687663695 457297.7005333134, 134540.9218474434 457229.679970323, 134533.52830947275 457221.1655623539, 134388.5387765869 456947.1395163283, 134384.36617280246 456932.3035138954, 134387.11408053065 456919.1411288489, 134382.5928129827 456879.6957327492, 134378.81254879135 456861.99871368264, 134367.46378491865 456773.9718915549, 134365.99404578906 456763.24134169664, 134358.09536067292 456710.8258744503, 134352.89718855335 456655.3173003002, 134344.47945448398 456600.089123298, 134338.08979666707 456567.95022894477, 134328.7975671452 456495.28006490844, 134319.75036928614 456423.9217802345, 134315.9966628693 456401.2068583571, 134308.74908225023 456380.3867676385, 134302.75631925883 456335.0507808801, 134307.3144062215 456327.0544489533, 134301.11880827957 456284.0446548648, 134292.78562467368 456219.77075993683, 134289.1201777033 456208.44856932806, 134274.14572310154 456162.17091870174, 134212.2164105429 456021.317550218, 134165.996224094 455919.2402026898, 134134.721142546 455844.86009506526, 134124.10825894852 455703.42583517544, 134131.44761539774 455642.73588227446, 134147.71697696156 455506.6296153195, 134148.97725063562 455494.97537405934, 134155.42240436183 455438.28347113414, 134184.08823231322 455212.683291458, 134201.71266028305 455170.51984516194, 134253.75884161465 455095.135208452, 134267.44394540825 455081.19291104516, 134344.2326034124 455019.60267123225, 134349.30645484052 455016.6554766124, 134355.384731608 455012.93642599444, 134471.4225870999 454954.03382660507, 134427.71303113305 454889.9392031241, 134420.43947142968 454881.48010686977, 134375.9478021365 454837.3937631674, 134234.95742688052 454671.20069714315, 134090.41781308502 454643.156107231, 134161.00716659447 454488.19730826904, 134255.07397094948 454321.67077570705, 134348.43234971794 454156.3728943562, 134371.49050657163 454115.55610845797, 134383.89085555496 454093.597634197, 134477.9589684261 453927.07548307435, 134527.85075076696 453838.7521457133, 134634.43929104466 453649.8962273746, 134663.0839653134 453599.15586367407, 134688.37322369855 453554.3706393512, 134756.0130908998 453434.5686325953, 134823.26819401176 453315.45895283297, 134849.0640697471 453269.76019429334, 134890.08393563188 453197.1196861021, 134904.77672049857 453171.1590761994, 134997.0271477899 453007.7363689669, 135091.3348089895 452842.7829580154, 135105.74582135043 452761.1941723225, 135164.25804303796 452634.43617371324, 135206.78030576467 452559.4337017393, 135213.59110834025 452547.5686044168, 135286.50771853814 452426.9965917614, 135606.2066276713 451740.15971215244, 135624.070726838 451696.8658560483, 135692.5841384208 451542.2717391824, 135689.2402262654 451513.06793223263)","8178.985457328705"
"18","20","56175179143","3439.0","3554.0","22","30","45","8","LINESTRING (135689.2402262654 451513.06793223263, 135692.5841384208 451542.2717391824, 135871.8937657281 451894.2953525315, 135878.26585677982 451892.5686226499, 135880.39292058733 451898.14569265017, 135890.21690070038 451921.9509403972, 135996.81960446897 452212.3313857646, 136064.58055497447 452392.78132579755, 136097.2013989749 452500.34568694927, 136131.14595816258 452608.3169181972, 136122.40883284356 453085.9880494848, 136100.67706974136 453192.26791641605, 136103.64176132754 453272.4416027412, 136095.39205902602 453324.62037809147, 136057.84801104 453565.4959183821, 135951.76413052104 454248.53574032616, 135934.68223872205 454352.97410165524, 135916.52067782916 454416.9847921678, 135905.545170139 454447.35634560406, 135882.95355308944 454508.9809446528, 135714.90314910258 454775.92993955687, 135691.58275232528 454800.6421799385, 135656.9015401225 454837.0253365127, 135648.25138411892 454842.4661914847, 135686.9677371789 454890.3245917481, 135791.09931179037 455024.0012957105, 135793.49264784242 455027.84166201646, 135885.60194774464 455166.6401991134, 135913.45508003238 455198.07558194554, 135897.70830234932 455234.94083017565, 135863.3655480818 455294.77491838724, 135813.57574121453 455381.5937240222, 135727.88124147756 455532.459778811, 135683.99030919187 455640.45217265707, 135677.2779993842 455659.21444624086, 135682.56623919425 455700.8831297385, 135680.32810873305 455705.186461069, 135678.81902914992 455708.3854871978, 135666.27902010907 455735.381407952, 135656.01203631356 455763.50338262826, 135659.25585300275 455771.1009785195, 135651.5814166607 455776.77169858955, 135638.43509775784 455787.00313024485, 135633.2977417683 455800.04056583985, 135630.86532942054 455810.7532672369, 135628.12950351945 455829.7894184025, 135659.6512220632 455864.03513420763, 135663.00952934203 455871.131617242, 135651.73123822908 455947.54449567274, 135642.90933099788 455978.80955745984, 135641.39777483486 455984.86799570074, 135622.7975444852 456067.4398814937, 135616.53035488247 456112.30218765204, 135697.96895101437 456168.1276412963, 135814.9080888159 456266.00736059604, 135640.2754099275 456550.7757822117, 135680.6716062447 456600.49682482984, 135693.02768567155 456614.95722620917, 135702.41850270127 456621.0623752025, 135706.47183970365 456623.76141233224, 135679.23694792655 456649.2678209562, 135650.2496826019 456676.9285201348, 135628.43676203032 456697.48529660876, 135581.4256906578 456741.9056580636, 135595.45307280106 456854.62450383394, 135582.6690066217 456969.2169964285, 135555.37956282822 457001.1551762957, 135522.13002370545 457036.74392719235, 135448.77462702326 457108.1159348491, 135471.8712512874 457144.6966934103, 135462.27125431882 457146.21414376213, 135411.9121096487 457182.8054478201, 135358.86914245723 457228.3865848932, 135264.1945269398 457307.67830763507, 135270.5341415497 457328.937307123, 135232.70605313708 457359.53946449846, 135160.7023964785 457424.03452711325, 135126.3153114623 457452.9993808719, 135040.90843348263 457528.15289405663, 134964.61760417407 457625.8348312655, 134971.95662100433 457643.26207416196, 134941.56294220765 457673.1133649192, 134932.0817668303 457671.527195158, 134917.76409574912 457686.9723165417, 134873.832767249 457802.9388136159, 134827.82672194898 457923.70947775117, 134807.6946124817 457978.11975396133, 134829.5300321729 458000.8173623824, 134831.5370004349 458014.2828967489, 134830.38551799845 458025.95881379076, 134810.0454848589 458044.23245230824, 134806.26684594477 458065.16480501957, 134820.22331687494 458097.8188207016, 134836.04154799785 458133.524999095, 134881.00703833214 458225.0885303133, 134901.63199322237 458268.9753971783, 134918.3959644754 458301.67397935403, 134921.40208960723 458333.660435073, 134899.2444717193 458354.51118248835, 134831.256263196 458423.16726169357, 134873.66122836646 458464.87405345053, 134812.8652407292 458521.26262027473, 134837.6770455701 458548.82141364337)","8123.927989489287"
"19","21","56175179422","3581.0","0.0","8","10","4","8",,
"20","22","56175179422","0.0","3581.0","14","25","10","8",,
"21","23","56175179422","3581.0","3581.0","15","30","25","8",,
"22","24","56175179577","3583.0","3511.0","6","30","10","8","LINESTRING (138380.31932557785 455507.677534985, 138298.72741822264 455461.56632337434, 138222.68264876993 455467.4295131007, 138213.92178312654 455424.2679410205, 138174.65305333573 455441.7904262106, 137963.8152090637 455530.66983915196, 137961.4636754844 455588.5441976531, 137975.91655516747 455606.10720613017, 137963.73078180995 455616.1511651301, 137950.5068851112 455609.2315625209, 137882.1807570239 455648.6184277936, 137817.15856150427 455687.8390692078, 137779.12637837577 455715.1068074945, 137767.31142582663 455719.2309364904, 137757.52281630225 455726.6413710687, 137676.1164532585 455803.42640521546, 137671.22680784625 455808.42787416116, 137600.04071228608 455875.2097045484, 137563.06430495155 455907.7046465638, 137383.23585713402 455714.57842260564, 137266.69109487967 455804.9905081086, 137247.11646973487 455818.099962434, 137241.13811791028 455813.6486319032, 137199.70180034733 455788.585097598, 137194.57606085503 455792.5976665514, 137150.8908681285 455927.9351415785, 137122.90479563668 455907.6860997445, 137054.4918852017 455836.4253982127, 137033.11013999418 455825.26525766857, 136991.20645115394 455803.88785170123, 136956.68995141826 455791.82986460364, 136872.43036157187 455920.79721442837, 136850.57180522708 455912.33208878495, 136786.46449211935 455885.66354793665, 136763.9586522635 455850.2539638199, 136723.20419720237 455832.2902862919, 136706.0274908427 455824.26477206097, 136692.57470668573 455816.9376843111, 136596.78063766568 455771.42949307186, 136583.62103122077 455765.62587917206, 136528.31073810183 455740.9196728209, 136509.2756417834 455780.7435981463, 136466.87282877957 455767.7614677086, 136443.8265171008 455759.10227875144, 136420.1212826291 455750.2008833648, 136396.6181147642 455740.3753861085, 136422.55654092712 455708.5693691623)","2723.602511267828"
"23","25","56175179577","3511.0","3583.0","15","15","10","8","LINESTRING (136422.55654092712 455708.5693691623, 136420.1212826291 455750.2008833648, 136443.8265171008 455759.10227875144, 136466.87282877957 455767.7614677086, 136509.2756417834 455780.7435981463, 136486.30446422758 455865.954135145, 136565.06484652698 455871.93689046765, 136599.28099891325 455874.9366966186, 136680.4527506734 455884.4504369241, 136680.08975992023 455886.37657356577, 136663.45103090775 455935.0585299959, 136683.3080676959 455948.9485696932, 136709.41939653407 455965.864230691, 136842.25790966515 456004.15203342936, 136893.1736994536 455995.73330310767, 136901.56717273773 456072.55016639596, 136906.24401100934 456129.9434086403, 136925.39778870926 456135.51470758574, 136997.7512100333 456124.04859208636, 137004.53906180145 456123.08946084714, 137049.9098553958 456116.5838023283, 137064.26631299872 456114.5182400188, 137113.54318992095 456107.9323327879, 137132.02895725582 456106.909100553, 137169.3688067521 456094.8036063646, 137216.69141051755 456087.80293536227, 137226.3501062528 456086.65583499195, 137279.62745985083 456081.3812875988, 137340.5659900966 456060.4703304376, 137376.37105552913 456036.6005209038, 137427.5723566819 455998.25728552404, 137449.65245254547 455982.48058605805, 137563.06430495155 455907.7046465638, 137600.04071228608 455875.2097045484, 137671.22680784625 455808.42787416116, 137676.1164532585 455803.42640521546, 137757.52281630225 455726.6413710687, 137767.31142582663 455719.2309364904, 137817.15856150427 455687.8390692078, 137882.1807570239 455648.6184277936, 137950.5068851112 455609.2315625209, 137949.5008185739 455597.64171842625, 137961.4636754844 455588.5441976531, 137963.8152090637 455530.66983915196, 138174.65305333573 455441.7904262106, 138213.92178312654 455424.2679410205, 138270.16613563502 455398.0104201641, 138391.2979503821 455458.0078479439, 138380.31932557785 455507.677534985)","2662.384155601944"
