field_1,Unnamed: 0,OPID,VertPC,AankPC,VertUur,VertMin,Reisduur,Hvm,geometry,length_m
"0","2","56175178182","3525.0","3525.0","10","45","15","9",,
"2","4","56175178337","3512.0","3512.0","11","0","10","9",,
"3","5","56175178337","3512.0","3512.0","13","0","10","9",,
"4","6","56175178337","3512.0","3512.0","15","30","60","9",,
"9","11","56175178833","3551.0","3551.0","9","0","5","9",,
"11","13","56175178833","3551.0","3552.0","14","0","30","9","LINESTRING (135229.14877978654 457166.0603948873, 135186.74864445007 457206.7167588095, 135222.1180510819 457250.2680541066, 135255.797034216 457296.17390570894, 135267.81594470015 457319.0236457866, 135292.50525589765 457373.6103510163, 135363.5228921827 457485.7138437163, 135405.7557108396 457552.42606251163, 135447.31042578677 457607.2586766685, 135462.30243624936 457625.23511827894, 135481.34501088315 457648.9033793884, 135504.07610203847 457682.0589108891, 135524.09867493977 457709.41734652565, 135546.84746471632 457692.9285348325, 135574.0437453409 457673.2181562145, 135596.2023229085 457703.8062227138, 135601.53415912716 457711.3177708421, 135644.05209253923 457769.864371804)","846.8824741475713"
"37","41","56175180879","3521.0","3511.0","14","0","30","9","LINESTRING (135951.9243647899 455125.4200248639, 136157.4148137007 455213.112074068, 136171.025451598 455210.79087214, 136198.68474359674 455225.92897168914, 136189.3633416763 455242.35279674415, 136126.28077656167 455353.6069010335, 136113.1946962585 455376.6540005081, 136103.17476311725 455393.0806436064, 136041.86204641848 455474.93420868926, 136003.65072609478 455492.68123560876, 135996.27131091157 455500.4419829094, 135978.99111122984 455496.4358586367, 135932.96509366762 455560.2638859367, 135924.02365661136 455564.55940770847, 135926.61425613787 455555.5819099747, 135942.56874356477 455530.2202393602, 135951.6453286349 455514.65357857087, 135956.6237096159 455506.34564822726, 135968.2327196298 455486.252168668, 135972.03418181385 455476.6470100982, 136153.10572027083 455601.1258549564, 136179.63567128038 455611.78433804156, 136211.56294268076 455632.4693805223, 136216.798179109 455635.84305842797, 136210.6443444476 455643.3095879311, 136287.95514466707 455691.093887822, 136316.9175024939 455709.09825444844, 136326.27231891063 455703.53352166427, 136369.88022352936 455725.1214830587, 136373.21853938757 455727.1227989146, 136396.6181147642 455740.3753861085, 136410.3672834356 455716.7813706319, 136422.55654092712 455708.5693691623)","1382.8794742236196"
"38","42","56175180879","3511.0","3511.0","17","20","10","9",,
"39","43","56175180879","3511.0","3521.0","19","30","30","9","LINESTRING (136422.55654092712 455708.5693691623, 136410.3672834356 455716.7813706319, 136396.6181147642 455740.3753861085, 136373.21853938757 455727.1227989146, 136369.88022352936 455725.1214830587, 136326.27231891063 455703.53352166427, 136316.9175024939 455709.09825444844, 136287.95514466707 455691.093887822, 136210.6443444476 455643.3095879311, 136216.798179109 455635.84305842797, 136211.56294268076 455632.4693805223, 136179.63567128038 455611.78433804156, 136153.10572027083 455601.1258549564, 135972.03418181385 455476.6470100982, 135968.2327196298 455486.252168668, 135956.6237096159 455506.34564822726, 135951.6453286349 455514.65357857087, 135942.56874356477 455530.2202393602, 135926.61425613787 455555.5819099747, 135924.02365661136 455564.55940770847, 135932.96509366762 455560.2638859367, 135978.99111122984 455496.4358586367, 135996.27131091157 455500.4419829094, 136003.65072609478 455492.68123560876, 136041.86204641848 455474.93420868926, 136103.17476311725 455393.0806436064, 136113.1946962585 455376.6540005081, 136126.28077656167 455353.6069010335, 136189.3633416763 455242.35279674415, 136198.68474359674 455225.92897168914, 136171.025451598 455210.79087214, 136157.4148137007 455213.112074068, 135951.9243647899 455125.4200248639)","1382.8794742236196"
"40","44","56175181034","3544.0","3544.0","17","15","95","9",,
