pc4_code,rivm_nsl_2
"3273.0",20.05136
"3311.0",23.60353
"3319.0",21.18012
"3481.0",17.34257
"3571.0",21.33071
"3749.0",13.06462
"3763.0",12.83940
"3819.0",27.20296
"3844.0",16.68558
"4017.0",19.86152
"4106.0",14.86145
"4174.0",16.38529
"4181.0",27.86587
"4416.0",22.36847
"4423.0",19.20109
"4471.0",13.51829
"4491.0",12.68343
"4521.0",14.39802
"4693.0",14.16212
"4701.0",19.72340
"4766.0",19.51287
"4826.0",19.00014
"4836.0",20.44498
"5012.0",25.05886
"5172.0",16.84002
"5237.0",19.42830
"5249.0",15.26676
"5255.0",15.18021
"5268.0",14.67038
"5294.0",15.52614
"5315.0",16.79792
"5345.0",15.83772
"5361.0",15.59997
"5491.0",24.32596
"5628.0",19.47997
"5643.0",20.08809
"5735.0",20.35231
"5757.0",16.50954
"5763.0",15.37077
"5827.0",15.17364
"5871.0",15.15377
"5931.0",21.52791
"5993.0",15.82389
"6006.0",13.43791
"6012.0",13.76544
"6024.0",13.85358
"6044.0",20.30663
"6251.0",12.05606
"6311.0",11.69040
"6369.0",12.69282
"6411.0",21.60608
"6439.0",13.72998
"6444.0",15.70358
"6446.0",15.55471
"6574.0",16.86292
"7035.0",15.36387
"7076.0",15.88054
"7102.0",14.64494
"7157.0",13.60033
"7224.0",13.40005
"7314.0",15.72000
"7399.0",12.67333
"7413.0",16.04037
"7443.0",12.79364
"7543.0",16.45489
"7642.0",15.25995
"7766.0",10.67928
"7775.0",11.32568
"7814.0",12.73256
"7861.0",10.51832
"7914.0",11.78876
"7921.0",10.97303
"7928.0",10.37331
"7933.0",13.24741
"7964.0",9.93350
"8071.0",11.53730
"8221.0",12.84262
"8223.0",11.77996
"8271.0",11.92387
"8321.0",12.00000
"8347.0",9.69511
"8371.0",9.82114
"8395.0",10.01805
"8431.0",9.78241
"8515.0",11.18117
"8611.0",9.67580
"8631.0",11.03447
"8635.0",9.92898
"8658.0",9.84953
"8749.0",9.84772
"8755.0",9.75261
"8851.0",9.38000
"9005.0",10.22091
"9212.0",10.00689
"9244.0",11.11375
"9246.0",9.71834
"9333.0",9.02784
"9433.0",9.83309
"9443.0",9.60740
"9483.0",9.58891
"9502.0",11.49996
"9655.0",9.34277
"9735.0",12.24090
"9756.0",10.46929
"9771.0",9.85767
"9791.0",10.23135
"9822.0",9.81601
"9844.0",8.73145
"9865.0",9.63227
"9931.0",9.50131
"9971.0",9.36312
"2524.0",23.25630
"2662.0",20.64559
"1052.0",25.51572
"1108.0",19.17702
"1121.0",15.46563
"1216.0",16.08646
"1217.0",14.09350
"1335.0",13.70866
"1401.0",15.80573
"1428.0",15.43518
"1602.0",11.27518
"1634.0",13.92664
"1703.0",14.26710
"1751.0",10.69463
"1782.0",13.22032
"1787.0",10.17499
"1821.0",15.81566
"1941.0",19.54590
"1963.0",15.53991
"2223.0",16.99601
"2251.0",19.42362
"2267.0",22.85522
"2331.0",18.55533
"2514.0",26.36688
"2517.0",21.20053
"2721.0",19.29703
"2741.0",19.50631
"2802.0",20.83277
"2872.0",17.96405
"2953.0",21.77732
"2988.0",21.76570
"3022.0",25.36298
"3122.0",24.28269
"3208.0",18.64000
"3209.0",17.85532
"1018.0",23.39971
"1024.0",21.05452
"1118.0",38.98016
"1214.0",16.76423
"1223.0",14.92580
"1334.0",14.27415
"1363.0",13.45009
"1405.0",14.63169
"1427.0",16.99024
"1486.0",12.36780
"1628.0",13.02993
"1689.0",15.47843
"1778.0",11.90625
"1873.0",9.58014
"1931.0",10.90000
"2114.0",12.50677
"2156.0",23.55494
"2163.0",16.60912
"2171.0",17.02294
"2204.0",12.67659
"2231.0",16.87119
"2315.0",20.36471
"2402.0",18.67432
"2403.0",16.45001
"2421.0",13.64363
"2491.0",27.31812
"2561.0",21.88988
"2574.0",24.12458
"2581.0",20.62000
"2673.0",19.81187
"2685.0",20.09515
"2855.0",14.92822
"2957.0",17.71103
"3032.0",26.68786
"3142.0",21.99646
"3198.0",19.33509
"3203.0",20.44668
"3253.0",11.76702
"3318.0",21.27427
"3342.0",23.90495
"3433.0",23.86040
"3444.0",16.31090
"3466.0",17.79722
"3512.0",23.89203
"3544.0",19.54949
"3552.0",21.52997
"3721.0",16.62753
"3755.0",13.86932
"3811.0",18.53851
"3816.0",27.12338
"3906.0",15.09241
"4014.0",16.05735
"4103.0",15.67399
"4197.0",14.72415
"4202.0",22.88883
"4335.0",15.55925
"4431.0",15.28992
"4486.0",13.01775
"4614.0",19.86745
"4702.0",19.27035
"4708.0",17.20589
"4758.0",21.96440
"5061.0",18.38326
"5076.0",15.72232
"5105.0",16.67702
"5125.0",16.66820
"5141.0",19.41715
"5222.0",24.61160
"5231.0",22.43481
"5241.0",21.53683
"5251.0",17.82029
"5324.0",15.84959
"5344.0",18.39962
"5403.0",17.04515
"5464.0",17.42358
"5481.0",14.98345
"5501.0",19.07730
"5508.0",16.93670
"5581.0",15.85433
"5706.0",16.95722
"5756.0",17.16227
"5872.0",14.70925
"5915.0",16.12050
"6014.0",15.78609
"6021.0",14.04233
"6096.0",15.95148
"6155.0",13.73740
"6165.0",17.07209
"6373.0",14.50178
"6464.0",13.24630
"6825.0",26.44410
"6922.0",16.64039
"6982.0",15.03047
"7037.0",15.55188
"7041.0",17.22153
"7223.0",13.17935
"7425.0",14.22748
"7461.0",15.53966
"7482.0",14.02004
"7611.0",14.11304
"7635.0",11.68045
"7731.0",11.50453
"7741.0",11.49661
"7761.0",11.15256
"7776.0",11.67846
"7846.0",10.51256
"7872.0",10.60000
"8028.0",15.20491
"8251.0",11.98206
"8253.0",12.01086
"8262.0",14.22478
"8346.0",12.11002
"8398.0",9.97903
"8404.0",10.47148
"8421.0",9.75000
"8437.0",9.17713
"8511.0",10.11730
"8606.0",11.14447
"8754.0",10.08932
"8814.0",10.40967
"9076.0",8.36182
"9206.0",10.71784
"9263.0",10.45957
"9264.0",9.45582
"9307.0",9.02822
"9405.0",11.03389
"9406.0",14.79640
"9413.0",10.64863
"9419.0",10.45194
"9466.0",9.58086
"9497.0",9.70691
"9614.0",9.73070
"9623.0",9.39741
"9672.0",11.74198
"9821.0",9.59681
"9824.0",11.54797
"9957.0",8.22185
"9959.0",9.19998
"3222.0",16.70972
"8191.0",12.26874
"1026.0",15.89961
"1081.0",21.69531
"1109.0",18.94411
"1113.0",21.75102
"1154.0",11.99652
"1186.0",18.20836
"1191.0",19.49662
"1338.0",16.20941
"1391.0",20.29244
"1442.0",14.61464
"1507.0",18.53558
"1511.0",16.08336
"1661.0",11.70911
"1813.0",16.54705
"1844.0",11.88904
"1943.0",17.79559
"2024.0",17.63324
"2065.0",21.24735
"2135.0",17.86883
"2153.0",18.86861
"2406.0",18.27975
"2408.0",17.99009
"2596.0",24.72777
"2616.0",20.69214
"2636.0",20.08070
"2715.0",23.21101
"2808.0",19.87157
"2821.0",16.21814
"2989.0",25.21239
"2992.0",22.58085
"3039.0",25.80547
"3082.0",23.84733
"3134.0",27.27077
"3151.0",19.52063
"3199.0",32.87776
"3202.0",21.81896
"3204.0",19.73319
"3206.0",18.41000
"3221.0",14.17801
"3232.0",17.88095
"3251.0",13.82947
"3316.0",24.84785
"3364.0",20.03288
"3545.0",25.72869
"3572.0",22.18038
"3602.0",17.41030
"3771.0",15.00960
"3842.0",16.15791
"4101.0",13.77767
"4119.0",14.09486
"4122.0",21.44174
"4128.0",21.27491
"4182.0",16.19392
"4191.0",17.20824
"4254.0",24.26905
"4303.0",13.58247
"4308.0",13.12496
"4356.0",12.81701
"4474.0",13.60186
"4493.0",12.82837
"4501.0",14.02276
"4539.0",16.64859
"4543.0",14.81155
"4571.0",15.01296
"4655.0",15.29387
"4691.0",14.73754
"4696.0",13.64417
"4724.0",16.54248
"4744.0",16.97479
"4903.0",18.29676
"4941.0",20.86656
"5032.0",17.36520
"5052.0",19.17398
"5063.0",18.81927
"5089.0",14.66161
"5113.0",14.38425
"5143.0",17.31004
"5296.0",15.53700
"5313.0",15.14032
"5327.0",16.09677
"5331.0",16.47398
"5455.0",14.64359
"5524.0",15.14979
"5631.0",18.65606
"5708.0",16.22045
"5741.0",17.74469
"5815.0",15.16538
"6001.0",23.23439
"6051.0",20.17023
"6088.0",14.97585
"6097.0",15.55794
"6333.0",12.82971
"6445.0",15.01991
"6524.0",20.07868
"6641.0",19.11041
"6642.0",20.00894
"6663.0",19.79000
"6971.0",14.24368
"7051.0",15.59828
"7241.0",15.09000
"7271.0",15.33123
"7317.0",15.93164
"7336.0",16.16562
"7576.0",13.69623
"7577.0",14.60609
"7585.0",13.84630
"7662.0",11.17266
"7902.0",13.03949
"7906.0",13.13699
"7946.0",10.69623
"7961.0",11.00000
"7986.0",9.76705
"8016.0",13.21369
"8026.0",12.22624
"8066.0",10.40994
"8096.0",11.60847
"8105.0",11.79977
"8222.0",11.87855
"8334.0",12.16952
"8343.0",10.82931
"8385.0",9.42535
"8406.0",9.83562
"8443.0",11.58810
"8446.0",11.54034
"8462.0",9.95986
"8466.0",11.83196
"8615.0",10.00941
"8621.0",9.98000
"8625.0",12.12067
"8628.0",10.18500
"8737.0",10.04514
"8742.0",10.52563
"8832.0",9.66496
"8842.0",9.83010
"8881.0",8.29143
"9011.0",10.20986
"9035.0",9.91607
"9075.0",8.59925
"9083.0",11.23974
"9106.0",8.92422
"9124.0",8.67977
"9221.0",10.27410
"9249.0",9.76916
"9485.0",9.93971
"9488.0",9.51770
"9527.0",9.70769
"9551.0",9.80925
"9699.0",9.77095
"9773.0",12.30180
"9792.0",10.28659
"9827.0",16.74180
"9861.0",9.47011
"9883.0",8.82000
"9973.0",8.25970
"9987.0",8.38058
"4901.0",20.40873
"8442.0",12.19822
"1022.0",19.95691
"1057.0",23.74168
"1064.0",20.94384
"1271.0",14.78906
"1318.0",15.10107
"1396.0",16.65135
"1461.0",16.75158
"1475.0",13.38929
"1482.0",13.34336
"1541.0",18.74365
"1627.0",13.09248
"1705.0",13.58072
"1759.0",9.47321
"1851.0",14.56345
"1945.0",17.71250
"1969.0",12.82037
"2143.0",22.15703
"2203.0",19.24319
"2324.0",21.03175
"2381.0",17.66048
"2445.0",15.65473
"2692.0",19.62030
"2694.0",18.42729
"2902.0",22.50654
"2941.0",17.50473
"3025.0",26.42904
"3062.0",22.79935
"3067.0",24.91950
"3081.0",27.04803
"3191.0",22.42041
"3249.0",13.15177
"3261.0",19.87625
"3291.0",16.14925
"3336.0",20.72896
"3356.0",22.41448
"3513.0",27.88353
"3522.0",22.61448
"3632.0",21.25968
"3899.0",11.23203
"3903.0",21.89261
"3905.0",22.46519
"3953.0",23.95609
"3958.0",13.37432
"3959.0",13.52198
"4003.0",21.86874
"4013.0",16.84231
"4161.0",15.68194
"4171.0",19.87599
"4184.0",16.65334
"4301.0",16.62218
"4364.0",13.01120
"4462.0",16.31324
"4464.0",14.85177
"4511.0",14.48711
"4634.0",22.18113
"4794.0",22.44239
"4823.0",18.01285
"4875.0",18.45263
"4902.0",19.12212
"5087.0",14.14763
