;OP;OPID;Steekproef;Mode;HHPers;HHSam;HHPlOP;HHLft1;HHLft2;HHLft3;HHLft4;WoPC;WoGem;Sted;GemGr;Prov;Corop;BuurtAdam;MRA;MRDH;Geslacht;Leeftijd;KLeeft;Herkomst;BetWerk;OnbBez;MaatsPart;Opleiding;HHBestInkG;HHGestInkG;HHLaagInk;HHSocInk;HHWelvG;HHRijbewijsAu;HHRijbewijsMo;HHRijbewijsBr;OPRijbewijsAu;OPRijbewijsMo;OPRijbewijsBr;HHAuto;HHAutoL;OPAuto;BrandstofPa1;XBrandstofPa1;BrandstofEPa1;BouwjaarPa1;KBouwjaarPa1;KGewichtPa1;TenaamPa1;BrandstofPa2;XBrandstofPa2;BrandstofEPa2;BouwjaarPa2;KBouwjaarPa2;KGewichtPa2;TenaamPa2;BrandstofPaL;XBrandstofPaL;BrandstofEPaL;BouwjaarPaL;KBouwjaarPaL;KGewichtPaL;HHMotor;OPMotor;HHBrom;OPBrom;HHSnor;OPSnor;HHEFiets;HHBezitVm;OPBezitVm;FqNEFiets;FqEFiets;FqBTM;FqTrein;FqAutoB;FqAutoP;FqBrSnor;OVStKaart;Jaar;Maand;Week;Dag;Weekdag;Feestdag;Weggeweest;RedenNW;RedenNWZ;RedenNWW;RedenNWB;AantVpl;AantOVVpl;AantSVpl;EFiets;AutoEig;AutoHhL;AutoLWg;AutoLPl;AutoBed;AutoDOrg;AutoDPart;AutoDBek;AutoLeen;AutoHuur;AutoAnd;ByzDag;ByzAdr;ByzVvm;ByzTyd;ByzDuur;ByzRoute;ByzReden;ReisduurOP;AfstandOP;AfstandSOP;Verpl;VerplID;VerplNr;Toer;AantRit;Doel;MotiefV;KMotiefV;MeerWink;AardWerk;VertLoc;VertGeb;VertPC;VertPCBL;VertGem;VertProv;VertCorop;VertMRA;VertMRDH;AankGeb;AankPC;AankPCBL;AankGem;AankProv;AankCorop;AankMRA;AankMRDH;PCG;GemG;PCBLG;AfstV;KAfstV;Hvm;HvmRol;KHvm;VertUur;VertMin;KVertTijd;AankUur;AankMin;Reisduur;KReisduur;ActDuur;Kind6;VolgWerk;SAantAdr;SDezPlts;SPlaats1;SPlaats2;SPlaats3;SPlaats4;SPlaats5;AfstS;AfstSBL;SVvm1;SVvm2;SVvm3;SVvm4;SBegUur;SBegMin;SEindUur;SEindMin;CorrVerpl;GehBLVer;Rit;RitID;RitNr;AfstR;AfstRBL;KAfstR;Rvm;RvmRol;RAantIn;KRvm;RVertUur;RVertMin;RAankUur;RAankMin;RReisduur;RReisduurBL;RVertStat;RAankStat;RTSamen;RCorrSnelh;RVliegVer;FactorH;FactorP;FactorV
47;0;56144375280;1;1;1;1;1;0;0;0;1;1053;363;1;8;8;23;36319;3;18;2;23;6;1;2;3;1;4;1;1;9;10;1;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;5;2;3;5;4;5;1;2019;1;1;6;1;0;1;0;0;0;0;6;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;65;75;0;1;5614437528002;2;0;1;12;11;7;3;12;1;0;1053.0;1.0;363;8;23;3;18;0;1053.0;1.0;363;8;23;3;18;0.0;0;0.0;3;1;9;4;6;13;0;7;13;5;5;2;40;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561443752800201;1;3;0;1;9;4;11;6;13;0;13;5;5;0;0.0;0.0;13;0;0;142;142;51742
48;0;56144375280;1;1;1;1;1;0;0;0;1;1053;363;1;8;8;23;36319;3;18;2;23;6;1;2;3;1;4;1;1;9;10;1;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;5;2;3;5;4;5;1;2019;1;1;6;1;0;1;0;0;0;0;6;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;65;75;0;1;5614437528003;3;0;1;8;7;4;0;12;4;0;1053.0;1.0;363;8;23;3;18;0;1053.0;1.0;363;8;23;3;18;0.0;0;0.0;3;1;9;4;6;13;45;7;13;50;5;2;10;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561443752800301;1;3;0;1;9;4;11;6;13;45;13;50;5;0;0.0;0.0;13;0;0;142;142;51742
49;0;56144375280;1;1;1;1;1;0;0;0;1;1053;363;1;8;8;23;36319;3;18;2;23;6;1;2;3;1;4;1;1;9;10;1;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;5;2;3;5;4;5;1;2019;1;1;6;1;0;1;0;0;0;0;6;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;65;75;0;1;5614437528004;4;0;1;1;7;4;3;12;4;0;1053.0;1.0;363;8;23;3;18;0;1053.0;1.0;363;8;23;3;18;0.0;0;0.0;4;1;9;4;6;14;0;8;14;10;10;3;145;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561443752800401;1;4;0;1;9;4;11;6;14;0;14;10;10;0;0.0;0.0;13;0;0;142;142;51742
50;0;56144375280;1;1;1;1;1;0;0;0;1;1053;363;1;8;8;23;36319;3;18;2;23;6;1;2;3;1;4;1;1;9;10;1;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;5;2;3;5;4;5;1;2019;1;1;6;1;0;1;0;0;0;0;6;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;65;75;0;1;5614437528005;5;0;1;2;1;1;3;12;1;0;1053.0;1.0;363;8;23;3;18;0;1072.0;1.0;363;8;23;5;18;0.0;0;0.0;31;4;8;4;5;16;35;9;16;50;15;4;400;0;1;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561443752800501;1;31;0;4;8;4;11;5;16;35;16;50;15;0;0.0;0.0;13;0;0;142;142;51742
53;0;56144376458;1;1;2;2;3;0;0;0;2;1103;363;1;8;8;23;36394;7;18;1;54;12;1;2;0;1;3;9;9;8;9;8;2;0;2;1;0;1;1;0;1;1;0;0;2003;1;2;1;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;3;3;2;5;3;3;1;3;5;4;2019;1;1;2;4;0;1;0;0;0;0;2;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;10;2;0;1;5614437645802;2;0;1;1;7;4;3;12;4;0;1103.0;1.0;363;8;23;7;18;0;1103.0;1.0;363;8;23;7;18;0.0;0;0.0;1;1;9;4;6;9;5;5;9;10;5;2;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561443764580201;1;1;0;1;9;4;11;6;9;5;9;10;5;0;0.0;0.0;13;0;0;142;284;103511
54;1;56144379341;1;1;1;1;1;0;0;0;1;1062;363;1;8;8;23;36387;4;18;1;49;11;1;3;0;2;4;7;10;8;9;10;1;0;1;1;0;1;1;0;1;1;0;0;2017;5;4;1;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;1;3;3;5;1;2;5;1;4;5;4;2019;1;1;6;1;0;1;0;0;0;0;3;0;0;5;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;50;300;0;1;5614437934101;1;0;1;9;8;6;3;12;1;0;1062.0;1.0;363;8;23;4;18;0;1078.0;1.0;363;8;23;5;18;0.0;0;0.0;100;8;1;1;1;12;0;6;12;15;15;4;105;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561443793410101;1;100;0;8;1;1;1;1;12;0;12;15;15;0;0.0;0.0;13;0;0;249;249;91015
55;0;56144379341;1;1;1;1;1;0;0;0;1;1062;363;1;8;8;23;36387;4;18;1;49;11;1;3;0;2;4;7;10;8;9;10;1;0;1;1;0;1;1;0;1;1;0;0;2017;5;4;1;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;1;3;3;5;1;2;5;1;4;5;4;2019;1;1;6;1;0;1;0;0;0;0;3;0;0;5;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;50;300;0;1;5614437934102;2;0;1;11;10;7;3;12;4;0;1078.0;1.0;363;8;23;5;18;0;1066.0;1.0;363;8;23;4;18;0.0;0;0.0;150;9;1;1;1;14;0;8;14;25;25;6;95;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561443793410201;1;150;0;9;1;1;1;1;14;0;14;25;25;0;0.0;0.0;13;0;0;249;249;91015
56;0;56144379341;1;1;1;1;1;0;0;0;1;1062;363;1;8;8;23;36387;4;18;1;49;11;1;3;0;2;4;7;10;8;9;10;1;0;1;1;0;1;1;0;1;1;0;0;2017;5;4;1;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;1;3;3;5;1;2;5;1;4;5;4;2019;1;1;6;1;0;1;0;0;0;0;3;0;0;5;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;50;300;0;1;5614437934103;3;0;1;1;10;7;3;12;4;0;1066.0;1.0;363;8;23;4;18;0;1062.0;1.0;363;8;23;4;18;0.0;0;0.0;50;6;1;1;1;16;0;9;16;10;10;3;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561443793410301;1;50;0;6;1;1;1;1;16;0;16;10;10;0;0.0;0.0;13;0;0;249;249;91015
127;0;56147383241;1;1;2;2;3;0;0;0;2;1024;363;1;8;8;23;36368;2;18;1;30;8;1;3;0;2;3;6;6;8;9;5;1;0;1;1;0;1;1;0;1;1;0;0;2003;1;3;1;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;3;3;5;5;1;5;3;4;5;0;2019;1;2;13;1;0;1;0;0;0;0;3;2;0;5;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;130;700;0;1;5614738324102;2;0;2;2;1;1;3;12;1;0;1024.0;1.0;363;8;23;2;18;0;1101.0;1.0;363;8;23;7;18;0.0;0;0.0;250;10;5;4;4;9;30;5;10;15;45;8;480;0;1;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561473832410201;1;50;0;6;3;4;11;4;9;30;9;45;15;0;0.0;0.0;13;0;0;130;260;94904
128;0;56147383241;1;1;2;2;3;0;0;0;2;1024;363;1;8;8;23;36368;2;18;1;30;8;1;3;0;2;3;6;6;8;9;5;1;0;1;1;0;1;1;0;1;1;0;0;2003;1;3;1;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;3;3;5;5;1;5;3;4;5;0;2019;1;2;13;1;0;1;0;0;0;0;3;2;0;5;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;130;700;0;0;5614738324102;2;0;2;2;1;1;3;12;1;0;1024.0;1.0;363;8;23;2;18;0;1101.0;1.0;363;8;23;7;18;0.0;0;0.0;250;10;5;4;4;9;30;5;10;15;45;8;480;0;1;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561473832410202;2;200;0;10;5;4;11;4;9;45;10;15;30;0;0.0;0.0;13;0;0;130;260;94904
