;OP;OPID;Steekproef;Mode;HHPers;HHSam;HHPlOP;HHLft1;HHLft2;HHLft3;HHLft4;WoPC;WoGem;Sted;GemGr;Prov;Corop;BuurtAdam;MRA;MRDH;Geslacht;Leeftijd;KLeeft;Herkomst;BetWerk;OnbBez;MaatsPart;Opleiding;HHBestInkG;HHGestInkG;HHLaagInk;HHSocInk;HHWelvG;HHRijbewijsAu;HHRijbewijsMo;HHRijbewijsBr;OPRijbewijsAu;OPRijbewijsMo;OPRijbewijsBr;HHAuto;HHAutoL;OPAuto;BrandstofPa1;XBrandstofPa1;BrandstofEPa1;BouwjaarPa1;KBouwjaarPa1;KGewichtPa1;TenaamPa1;BrandstofPa2;XBrandstofPa2;BrandstofEPa2;BouwjaarPa2;KBouwjaarPa2;KGewichtPa2;TenaamPa2;BrandstofPaL;XBrandstofPaL;BrandstofEPaL;BouwjaarPaL;KBouwjaarPaL;KGewichtPaL;HHMotor;OPMotor;HHBrom;OPBrom;HHSnor;OPSnor;HHEFiets;HHBezitVm;OPBezitVm;FqNEFiets;FqEFiets;FqBTM;FqTrein;FqAutoB;FqAutoP;FqBrSnor;OVStKaart;Jaar;Maand;Week;Dag;Weekdag;Feestdag;Weggeweest;RedenNW;RedenNWZ;RedenNWW;RedenNWB;AantVpl;AantOVVpl;AantSVpl;EFiets;AutoEig;AutoHhL;AutoLWg;AutoLPl;AutoBed;AutoDOrg;AutoDPart;AutoDBek;AutoLeen;AutoHuur;AutoAnd;ByzDag;ByzAdr;ByzVvm;ByzTyd;ByzDuur;ByzRoute;ByzReden;ReisduurOP;AfstandOP;AfstandSOP;Verpl;VerplID;VerplNr;Toer;AantRit;Doel;MotiefV;KMotiefV;MeerWink;AardWerk;VertLoc;VertGeb;VertPC;VertPCBL;VertGem;VertProv;VertCorop;VertMRA;VertMRDH;AankGeb;AankPC;AankPCBL;AankGem;AankProv;AankCorop;AankMRA;AankMRDH;PCG;GemG;PCBLG;AfstV;KAfstV;Hvm;HvmRol;KHvm;VertUur;VertMin;KVertTijd;AankUur;AankMin;Reisduur;KReisduur;ActDuur;Kind6;VolgWerk;SAantAdr;SDezPlts;SPlaats1;SPlaats2;SPlaats3;SPlaats4;SPlaats5;AfstS;AfstSBL;SVvm1;SVvm2;SVvm3;SVvm4;SBegUur;SBegMin;SEindUur;SEindMin;CorrVerpl;GehBLVer;Rit;RitID;RitNr;AfstR;AfstRBL;KAfstR;Rvm;RvmRol;RAantIn;KRvm;RVertUur;RVertMin;RAankUur;RAankMin;RReisduur;RReisduurBL;RVertStat;RAankStat;RTSamen;RCorrSnelh;RVliegVer;FactorH;FactorP;FactorV
1386;1;56175178182;1;1;4;6;4;0;2;1;1;3525;344;1;8;7;17;0;18;18;1;7;2;3;5;9;4;7;6;3;8;9;2;1;0;1;0;0;0;1;0;0;1;0;0;1999;1;1;2;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;3;0;3;5;5;5;6;5;5;4;2019;1;1;5;7;0;1;0;0;0;0;2;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;20;14;0;1;5617517818201;1;0;1;7;6;5;3;12;1;0;3525.0;1.0;344;7;17;18;18;0;3525.0;1.0;344;7;17;18;18;0.0;0;0.0;7;2;9;4;6;10;45;5;11;0;15;4;135;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751781820101;1;7;0;2;9;4;11;6;10;45;11;0;15;0;0.0;0.0;13;4;0;23;90;32923
1387;0;56175178182;1;1;4;6;4;0;2;1;1;3525;344;1;8;7;17;0;18;18;1;7;2;3;5;9;4;7;6;3;8;9;2;1;0;1;0;0;0;1;0;0;1;0;0;1999;1;1;2;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;3;0;3;5;5;5;6;5;5;4;2019;1;1;5;7;0;1;0;0;0;0;2;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;20;14;0;1;5617517818202;2;0;1;1;6;5;3;12;4;0;3525.0;1.0;344;7;17;18;18;0;3525.0;1.0;344;7;17;18;18;0.0;0;0.0;7;2;8;4;5;13;15;7;13;20;5;2;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751781820201;1;7;0;2;8;4;11;5;13;15;13;20;5;0;0.0;0.0;13;1;0;23;90;32923
1388;1;56175178337;1;1;1;1;1;0;0;0;1;3512;344;1;8;7;17;0;18;18;2;25;7;1;0;5;5;4;3;5;9;10;4;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;3;3;3;5;0;2019;1;2;9;4;0;1;0;0;0;0;4;0;0;5;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;140;296;0;1;5617517833701;1;0;1;2;1;1;3;12;1;0;3512.0;1.0;344;7;17;18;18;0;3512.0;1.0;344;7;17;18;18;0.0;0;0.0;3;1;9;4;6;11;0;5;11;10;10;3;110;0;1;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751783370101;1;3;0;1;9;4;11;6;11;0;11;10;10;0;0.0;0.0;13;0;0;175;175;63902
1389;0;56175178337;1;1;1;1;1;0;0;0;1;3512;344;1;8;7;17;0;18;18;2;25;7;1;0;5;5;4;3;5;9;10;4;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;3;3;3;5;0;2019;1;2;9;4;0;1;0;0;0;0;4;0;0;5;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;140;296;0;1;5617517833702;2;0;1;1;1;1;3;12;3;0;3512.0;1.0;344;7;17;18;18;0;3512.0;1.0;344;7;17;18;18;0.0;0;0.0;3;1;9;4;6;13;0;7;13;10;10;3;140;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751783370201;1;3;0;1;9;4;11;6;13;0;13;10;10;0;0.0;0.0;13;0;0;175;175;63902
1390;0;56175178337;1;1;1;1;1;0;0;0;1;3512;344;1;8;7;17;0;18;18;2;25;7;1;0;5;5;4;3;5;9;10;4;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;3;3;3;5;0;2019;1;2;9;4;0;1;0;0;0;0;4;0;0;5;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;140;296;0;1;5617517833703;3;1;1;10;9;8;3;12;1;0;3512.0;1.0;344;7;17;18;18;0;3512.0;1.0;344;7;17;18;18;0.0;0;0.0;40;5;9;4;6;15;30;8;16;30;60;9;45;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751783370301;1;40;0;5;9;4;11;6;15;30;16;30;60;0;0.0;0.0;13;0;0;175;175;63902
1391;0;56175178337;1;1;1;1;1;0;0;0;1;3512;344;1;8;7;17;0;18;18;2;25;7;1;0;5;5;4;3;5;9;10;4;1;0;1;1;0;1;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;2;5;3;3;3;3;5;0;2019;1;2;9;4;0;1;0;0;0;0;4;0;0;5;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;11;140;296;0;1;5617517833704;4;0;1;1;13;9;3;12;4;0;3512.0;1.0;344;7;17;18;18;0;3972.0;1.0;1581;7;17;18;18;0.0;0;0.0;250;10;1;2;2;17;15;10;18;15;60;9;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751783370401;1;250;0;10;1;2;3;2;17;15;18;15;60;0;0.0;0.0;13;0;0;175;175;63902
1393;0;56175178678;1;1;4;3;3;2;0;0;2;3531;344;1;8;7;17;0;18;18;2;37;9;1;3;0;2;4;10;10;8;9;9;2;0;2;1;0;1;1;0;1;1;0;0;2008;2;2;1;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;3;3;2;5;3;2;1;2;5;0;2019;1;1;4;6;0;1;0;0;0;0;2;0;0;5;1;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;11;125;1790;0;1;5617517867802;2;0;1;1;1;1;3;12;3;0;5623.0;1.0;772;11;36;18;18;0;3531.0;1.0;344;7;17;18;18;0.0;0;0.0;900;14;1;1;1;17;30;10;18;35;65;9;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751786780201;1;900;0;14;1;1;1;1;17;30;18;35;65;0;0.0;0.0;13;0;0;137;275;100206
1395;0;56175178833;1;1;1;1;1;0;0;0;1;3552;344;1;8;7;17;0;18;18;1;66;15;1;0;2;7;4;2;2;6;1;2;0;0;0;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;5;4;4;5;3;5;4;2019;1;2;9;4;0;1;0;0;0;0;4;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;55;42;0;1;5617517883302;2;0;1;2;1;1;3;12;4;0;3551.0;1.0;344;7;17;18;18;0;3551.0;1.0;344;7;17;18;18;0.0;0;0.0;2;1;9;4;6;9;0;5;9;5;5;2;115;0;1;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751788330201;1;2;0;1;9;4;11;6;9;0;9;5;5;0;0.0;0.0;13;0;0;560;560;204565
1396;0;56175178833;1;1;1;1;1;0;0;0;1;3552;344;1;8;7;17;0;18;18;1;66;15;1;0;2;7;4;2;2;6;1;2;0;0;0;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;5;4;4;5;3;5;4;2019;1;2;9;4;0;1;0;0;0;0;4;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;55;42;0;1;5617517883303;3;0;1;2;1;1;3;12;3;0;3551.0;1.0;344;7;17;18;18;0;3551.0;1.0;344;7;17;18;18;0.0;0;0.0;10;3;8;4;5;11;0;5;11;15;15;4;165;0;1;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751788330301;1;10;0;3;8;4;11;5;11;0;11;15;15;0;0.0;0.0;13;0;0;560;560;204565
1397;0;56175178833;1;1;1;1;1;0;0;0;1;3552;344;1;8;7;17;0;18;18;1;66;15;1;0;2;7;4;2;2;6;1;2;0;0;0;0;0;0;0;0;0;7;7;6;9995;9;7;3;7;7;6;9995;9;7;3;7;7;6;9995;9;7;0;0;0;0;0;0;0;0;0;1;5;4;4;5;3;5;4;2019;1;2;9;4;0;1;0;0;0;0;4;0;0;5;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;11;55;42;0;1;5617517883304;4;0;1;1;1;1;3;12;3;0;3551.0;1.0;344;7;17;18;18;0;3552.0;1.0;344;7;17;18;18;0.0;0;0.0;20;3;9;4;6;14;0;8;14;30;30;7;#NULL!;0;9;#NULL!;#NULL!;;;;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;0;0;1;561751788330401;1;20;0;3;9;4;11;6;14;0;14;30;30;0;0.0;0.0;13;0;0;560;560;204565
